,Res
2011-12-09,105.37539977557645
2011-12-12,105.2906373362922
2011-12-13,105.28696566003325
2011-12-14,105.32959210767244
2011-12-15,105.32411090447077
2011-12-16,105.22991888806177
2011-12-19,105.21414658677806
2011-12-20,105.21533420596766
2011-12-21,105.15407981314394
2011-12-22,105.12419147427553
2011-12-23,105.09800135601554
2011-12-26,105.11394422068201
2011-12-27,105.1268686799206
2011-12-28,105.14308509157617
2011-12-29,105.07429772648649
2011-12-30,105.09960659212696
2012-01-02,105.07175514515795
2012-01-03,104.97170376913502
2012-01-04,104.9960255141038
2012-01-05,105.02433211838948
2012-01-06,105.02015178844168
2012-01-09,105.07633104636786
2012-01-10,105.00095537681709
2012-01-11,105.13420289157409
2012-01-12,105.1480882863717
2012-01-13,105.04524860824317
2012-01-16,105.16534299829594
2012-01-17,105.14098771626654
2012-01-18,105.20143198991224
2012-01-19,105.23479076114297
2012-01-20,105.26131613318653
2012-01-23,105.25222135919034
2012-01-24,105.24979193483803
2012-01-25,105.30058560383473
2012-01-26,105.3558730974361
2012-01-27,105.41019467159953
2012-01-30,105.38835413518997
2012-01-31,105.4242110350079
2012-02-01,105.51946340677303
2012-02-02,105.52945947608347
2012-02-03,105.56591708104693
2012-02-06,105.53683347698215
2012-02-07,105.57239545364102
2012-02-08,105.57784804618547
2012-02-09,105.58634245144447
2012-02-10,105.54214771496248
2012-02-13,105.59280111088258
2012-02-14,105.58022202876055
2012-02-15,105.57202538495908
2012-02-16,105.61414740568617
2012-02-17,105.58863221097056
2012-02-20,105.57326131078887
2012-02-21,105.5778607159451
2012-02-22,105.54101118075256
2012-02-23,105.56278957734841
2012-02-24,105.58216784150736
2012-02-27,105.60803382762995
2012-02-28,105.62860465537545
2012-02-29,105.54409203217031
2012-03-01,105.58788375102026
2012-03-02,105.49252891262093
2012-03-05,105.50272747215425
2012-03-06,105.44521589038874
2012-03-07,105.4265492264571
2012-03-08,105.44647353021287
2012-03-09,105.437266576117
2012-03-12,105.47574913743402
2012-03-13,105.41453296602397
2012-03-14,105.4205614615936
2012-03-15,105.40989413541851
2012-03-16,105.38208763463977
2012-03-19,105.36619964340201
2012-03-20,105.3889764548166
2012-03-21,105.33024714785373
2012-03-22,105.24388094668076
2012-03-23,105.21515521297447
2012-03-26,105.22678739753935
2012-03-27,105.16251011766924
2012-03-28,105.18280769945395
2012-03-29,105.18664052988832
2012-03-30,105.17880860688453
2012-04-02,105.15296116942756
2012-04-03,105.0928406170119
2012-04-04,105.13907969389491
2012-04-05,105.14421288641512
2012-04-06,105.16376764973768
2012-04-09,105.15516001447422
2012-04-10,105.18653116420867
2012-04-11,105.15625082777339
2012-04-12,105.11567911968152
2012-04-13,105.10408831243953
2012-04-16,105.13423752735085
2012-04-17,105.07720782831906
2012-04-18,105.06914588870224
2012-04-19,105.06294690052086
2012-04-20,105.08194563644037
2012-04-23,105.10500132146672
2012-04-24,105.09697420323968
2012-04-25,105.08500394074285
2012-04-26,105.09825340145989
2012-04-27,105.08714976605549
2012-04-30,105.11524117018284
2012-05-01,105.14036529188276
2012-05-02,105.17328744764283
2012-05-03,105.21888135382828
2012-05-04,105.23768025509128
2012-05-07,105.18295429642532
2012-05-08,105.16676438021689
2012-05-09,105.06385035957122
2012-05-10,105.08752307831257
2012-05-11,105.1119484529974
2012-05-14,105.25491498431552
2012-05-15,105.2788292918133
2012-05-16,105.36874038891808
2012-05-17,105.32095322145231
2012-05-18,105.33915917606961
2012-05-21,105.30582726130534
2012-05-22,105.32784845151942
2012-05-23,105.58476170095922
2012-05-24,105.66213679276697
2012-05-25,105.65163129240459
2012-05-28,105.61163528736355
2012-05-29,105.62396226250007
2012-05-30,105.7315025090789
2012-05-31,105.7804189999423
2012-06-01,105.76331659784951
2012-06-04,105.7432074082209
2012-06-05,105.73539620547776
2012-06-06,105.71300537164518
2012-06-07,105.72938067607237
2012-06-08,105.70092088332767
2012-06-11,105.66771032719366
2012-06-12,105.65616939798589
2012-06-13,105.71314293263801
2012-06-14,105.71828202264572
2012-06-15,105.81450418464345
2012-06-18,105.83361645039969
2012-06-19,105.98078912711031
2012-06-20,106.03506183061157
2012-06-21,105.92844891119745
2012-06-22,105.8342572396861
2012-06-25,105.77435205115319
2012-06-26,105.84266414400166
2012-06-27,105.8610701995387
2012-06-28,105.72669922518124
2012-06-29,105.8292784849102
2012-07-02,105.87180299474811
2012-07-03,105.89318259250234
2012-07-04,105.78324713406812
2012-07-05,105.73066833899031
2012-07-06,105.58825264330972
2012-07-09,105.53241648678782
2012-07-10,105.63834187754087
2012-07-11,105.63319220449418
2012-07-12,105.63474865901003
2012-07-13,105.6825798248122
2012-07-16,105.67444519512712
2012-07-17,105.75002867382543
2012-07-18,105.77170826560042
2012-07-19,105.80026312819066
2012-07-20,105.7253936509959
2012-07-23,105.59614058109305
2012-07-24,105.49792350160048
2012-07-25,105.55397414482427
2012-07-26,105.57555050110003
2012-07-27,105.66415392205339
2012-07-30,105.5532314308729
2012-07-31,105.45969633589985
2012-08-01,105.49032294482642
2012-08-02,105.43099158174249
2012-08-03,105.59346099472998
2012-08-06,105.65063718953185
2012-08-07,105.61427298082286
2012-08-08,105.62603638569631
2012-08-09,105.68403063866916
2012-08-10,105.6818229871663
2012-08-13,105.56262008105708
2012-08-14,105.57219301280668
2012-08-15,105.64615969112668
2012-08-16,105.70123588096102
2012-08-17,105.71054093197996
2012-08-20,105.72041740855767
2012-08-21,105.72001260557995
2012-08-22,105.67457358500863
2012-08-23,105.65707917668576
2012-08-24,105.6364092490139
2012-08-27,105.63286055694738
2012-08-28,105.65439096316157
2012-08-29,105.66337844826822
2012-08-30,105.64416769821493
2012-08-31,105.6219918473792
2012-09-03,105.63404168833175
2012-09-04,105.61909136581585
2012-09-05,105.6000537589497
2012-09-06,105.57831490739524
2012-09-07,105.61792636031437
2012-09-10,105.62465830983533
2012-09-11,105.61742444018503
2012-09-12,105.57473578790412
2012-09-13,105.62741868045516
2012-09-14,105.68835936410586
2012-09-17,105.55995016391358
2012-09-18,105.57537369132646
2012-09-19,105.55980218982138
2012-09-20,105.57902698512419
2012-09-21,105.57213304055873
2012-09-24,105.55022231388558
2012-09-25,105.53128930247442
2012-09-26,105.54492260724612
2012-09-27,105.5717717279394
2012-09-28,105.6006892335885
2012-10-01,105.60614183019527
2012-10-02,105.5799388275417
2012-10-03,105.60094530461953
2012-10-04,105.58597314232227
2012-10-05,105.56477232971436
2012-10-08,105.57240680478657
2012-10-09,105.55296464612144
2012-10-10,105.5182040541619
2012-10-11,105.52272198627928
2012-10-12,105.56192434307056
2012-10-15,105.5920006400345
2012-10-16,105.60013244244522
2012-10-17,105.63516882253872
2012-10-18,105.67684613686644
2012-10-19,105.62928535700668
2012-10-22,105.57389469998645
2012-10-23,105.54346062199036
2012-10-24,105.5519310323088
2012-10-25,105.52562376629017
2012-10-26,105.42203729680949
2012-10-29,105.44330213096931
2012-10-30,105.4461917340514
2012-10-31,105.4593946298848
2012-11-01,105.46835506675808
2012-11-02,105.47827372179374
2012-11-05,105.50298060532494
2012-11-06,105.50142844046212
2012-11-07,105.49324723877105
2012-11-08,105.48580811497472
2012-11-09,105.45907867371407
2012-11-12,105.45480433856916
2012-11-13,105.44362947098651
2012-11-14,105.41802565367324
2012-11-15,105.43440396595753
2012-11-16,105.42661597335446
2012-11-19,105.38780092291513
2012-11-20,105.40782968386901
2012-11-21,105.42201353187829
2012-11-22,105.44281870782271
2012-11-23,105.41855917329637
2012-11-26,105.3520351767008
2012-11-27,105.37208728626456
2012-11-28,105.35317886119454
2012-11-29,105.37374170144183
2012-11-30,105.32195258681126
2012-12-03,105.27838422027165
2012-12-04,105.26758708731766
2012-12-05,105.30938734170428
2012-12-06,105.36459976352923
2012-12-07,105.40982911777574
2012-12-10,105.38763942982666
2012-12-11,105.37548122178626
2012-12-12,105.39870144972372
2012-12-13,105.37278174627829
2012-12-14,105.3911846523076
2012-12-17,105.34248518583219
2012-12-18,105.37265427736362
2012-12-19,105.38651331921096
2012-12-20,105.43477632622422
2012-12-21,105.38434086382722
2012-12-24,105.41034306893165
2012-12-25,105.41866993861599
2012-12-26,105.38280631088493
2012-12-27,105.41939805868599
2012-12-28,105.43889696534063
2012-12-31,105.44037623721623
2013-01-01,105.42435316069222
2013-01-02,105.38884448136602
2013-01-03,105.35959000334891
2013-01-04,105.31442378982618
2013-01-07,105.35784698555173
2013-01-08,105.34949392384564
2013-01-09,105.37546173289648
2013-01-10,105.40928845688373
2013-01-11,105.4315715502392
2013-01-14,105.42246275716394
2013-01-15,105.3868144397681
2013-01-16,105.37377334877273
2013-01-17,105.43767079827158
2013-01-18,105.43913157019563
2013-01-21,105.4142815596376
2013-01-22,105.4362127130233
2013-01-23,105.4329573705159
2013-01-24,105.45147251421994
2013-01-25,105.42524681817231
2013-01-28,105.42667324212432
2013-01-29,105.39357511488396
2013-01-30,105.39638899580139
2013-01-31,105.45064150601169
2013-02-01,105.43796485957309
2013-02-04,105.39392499885597
2013-02-05,105.39237243252799
2013-02-06,105.29332133874784
2013-02-07,105.27669475073117
2013-02-08,105.29895440239275
2013-02-11,105.27889498853553
2013-02-12,105.23527441463484
2013-02-13,105.2440203722901
2013-02-14,105.21118108301496
2013-02-15,105.21898643207405
2013-02-18,105.21591294683279
2013-02-19,105.23749824369108
2013-02-20,105.21754531817028
2013-02-21,105.22373841467204
2013-02-22,105.16742737983886
2013-02-25,105.14943486128749
2013-02-26,105.17848467578106
2013-02-27,105.15567469519068
2013-02-28,105.21189843191263
2013-03-01,105.25598897056462
2013-03-04,105.27128327014219
2013-03-05,105.26276971543618
2013-03-06,105.27671526282592
2013-03-07,105.25983756193868
2013-03-08,105.25935215207156
2013-03-11,105.24710258552558
2013-03-12,105.23901066185364
2013-03-13,105.25379155193738
2013-03-14,105.21127315761312
