,Total_Excl_Signals
2007-03-23,158.33880758192825
2007-03-26,158.29850803211568
2007-03-27,158.26000629681494
2007-03-28,157.93304412052095
2007-03-29,158.19291267214967
2007-03-30,157.99081310794233
2007-04-02,158.37863139869637
2007-04-03,158.96574808214353
2007-04-04,158.99109876299957
2007-04-05,159.2527752514883
2007-04-06,159.23400322778951
2007-04-09,159.36125600462105
2007-04-10,159.39452553311477
2007-04-11,159.40447820383883
2007-04-12,159.43186630037806
2007-04-13,159.70019651218578
2007-04-16,160.0472891318483
2007-04-17,160.27622526025712
2007-04-18,160.23880002168653
2007-04-19,160.31618635468018
2007-04-20,160.69889987577488
2007-04-23,160.59250512171823
2007-04-24,160.74258560405343
2007-04-25,161.19995482683808
2007-04-26,161.1173079036772
2007-04-27,161.0232997024147
2007-04-30,160.77073912958775
2007-05-01,160.80177021266948
2007-05-02,161.05262072352747
2007-05-03,161.3352572956204
2007-05-04,161.68801211390263
2007-05-07,162.1134078550393
2007-05-08,161.9694135867192
2007-05-09,162.23145030450945
2007-05-10,161.83062860234304
2007-05-11,162.12533447468275
2007-05-14,162.57111567493197
2007-05-15,162.85652861003788
2007-05-16,162.83743331809293
2007-05-17,162.74073068171495
2007-05-18,162.75140303312034
2007-05-21,163.1370785926344
2007-05-22,163.3064961868622
2007-05-23,163.11276860876364
2007-05-24,162.4499439350948
2007-05-25,163.0283645311027
2007-05-28,163.1449976035404
2007-05-29,162.84548537044165
2007-05-30,162.71386445944094
2007-05-31,163.28382027150968
2007-06-01,163.6737003962091
2007-06-04,163.7088676847181
2007-06-05,163.31806342807775
2007-06-06,162.88249727284756
2007-06-07,162.3671340399683
2007-06-08,161.6552025389308
2007-06-11,162.18539810666735
2007-06-12,162.23078480711703
2007-06-13,161.7682601427176
2007-06-14,162.22564183475845
2007-06-15,162.9981183116591
2007-06-18,163.4937169920566
2007-06-19,163.80163364685708
2007-06-20,163.44618075579834
2007-06-21,163.19932138726628
2007-06-22,162.9876332144063
2007-06-25,162.8363168258873
2007-06-26,162.58823883051616
2007-06-27,162.42208104402258
2007-06-28,163.15047018958464
2007-06-29,163.2097526742406
2007-07-02,163.75530869289224
2007-07-03,163.96884490651485
2007-07-04,164.12768948129235
2007-07-05,163.80448724274862
2007-07-06,164.1248075209291
2007-07-09,164.5519351654872
2007-07-10,164.59810222164396
2007-07-11,164.5347542793785
2007-07-12,165.14338236750294
2007-07-13,165.3216898576475
2007-07-16,165.39524627972466
2007-07-17,165.49403136529818
2007-07-18,165.3683086412102
2007-07-19,165.8663739947114
2007-07-20,165.67511419356006
2007-07-23,166.11574604510315
2007-07-24,165.91841643869304
2007-07-25,165.17005660571814
2007-07-26,163.89135189878525
2007-07-27,163.6117959442759
2007-07-30,163.8920070789752
2007-07-31,164.4497722572148
2007-08-01,163.6912539309889
2007-08-02,164.10746898807565
2007-08-03,164.09182597546427
2007-08-06,163.94734213280123
2007-08-07,164.0605266369846
2007-08-08,164.56943098303063
2007-08-09,163.9637567064261
2007-08-10,163.13931837294874
2007-08-13,163.26817631438948
2007-08-14,162.2572897955292
2007-08-15,161.3357110433384
2007-08-16,159.1148692734819
2007-08-17,160.49991332867143
2007-08-20,160.56888512754904
2007-08-21,160.18809105065395
2007-08-22,160.98332799321835
2007-08-23,161.01362659960705
2007-08-24,161.72652699688348
2007-08-27,161.79233609069541
2007-08-28,161.14765809981202
2007-08-29,161.39529400971364
2007-08-30,161.67559193806997
2007-08-31,162.05362752462904
2007-09-03,162.12235914839584
2007-09-04,162.0155636873983
2007-09-05,161.74450205784018
2007-09-06,162.21343991965696
2007-09-07,161.9804522601869
2007-09-10,162.02319638871634
2007-09-11,162.62452562444722
2007-09-12,163.18312273555173
2007-09-13,163.62262717805632
2007-09-14,163.77183800218566
2007-09-17,163.4070805463032
2007-09-18,163.9021301368966
2007-09-19,165.07203625872762
2007-09-20,165.6491949473698
2007-09-21,166.01971666386262
2007-09-24,166.14280587323685
2007-09-25,166.02444416325918
2007-09-26,166.38641677821363
2007-09-27,166.60159891068665
2007-09-28,166.81715090498386
2007-10-01,167.35906782472418
2007-10-02,167.04156628044578
2007-10-03,167.17466361136502
2007-10-04,167.28255053232317
2007-10-05,168.03222199875697
2007-10-08,168.1609599926864
2007-10-09,168.44732620408524
2007-10-10,168.42175111304604
2007-10-11,169.03599990905866
2007-10-12,168.65908098174236
2007-10-15,168.3092254110533
2007-10-16,167.98466754520302
2007-10-17,168.0366886493177
2007-10-18,168.4502389117409
2007-10-19,168.42420048849814
2007-10-22,167.90293068750933
2007-10-23,168.50183648428663
2007-10-24,168.26268552719998
2007-10-25,169.10658394926654
2007-10-26,169.91657138060376
2007-10-29,170.10420736130692
2007-10-30,170.2882801785356
2007-10-31,170.74872407717575
2007-11-01,170.4073956836951
2007-11-02,170.27914980697213
2007-11-05,170.01470012983359
2007-11-06,170.3957349985189
2007-11-07,170.5031890787264
2007-11-08,170.19494448440543
2007-11-09,170.08045873898075
2007-11-12,169.31565620831842
2007-11-13,169.57768234572697
2007-11-14,170.41004595514704
2007-11-15,169.83001318044248
2007-11-16,169.5507980408929
2007-11-19,169.04022180842344
2007-11-20,169.34824783637467
2007-11-21,168.47914011110785
2007-11-22,168.54872029214795
2007-11-23,168.36471896008013
2007-11-26,168.03530664175946
2007-11-27,167.85324555200634
2007-11-28,168.87308842657933
2007-11-29,169.26494879995155
2007-11-30,169.6920086143069
2007-12-03,169.8319827402962
2007-12-04,169.85279861506814
2007-12-05,170.41527249789183
2007-12-06,170.85863165283283
2007-12-07,171.23300162546855
2007-12-10,171.36758365113735
2007-12-11,171.52960761487705
2007-12-12,171.27775202886863
2007-12-13,170.8993205950544
2007-12-14,170.40426527088013
2007-12-17,169.86553958105694
2007-12-18,169.85727826092736
2007-12-19,169.92860538078776
2007-12-20,169.64784722194887
2007-12-21,170.0138375315893
2007-12-24,170.2409675757188
2007-12-25,170.39262519560026
2007-12-26,170.47545542966236
2007-12-27,170.49250387349466
2007-12-28,170.58811201477107
2007-12-31,170.55792518414094
2008-01-01,170.57329100900034
2008-01-02,170.80976987611984
2008-01-03,171.29401844576222
2008-01-04,171.16597540579465
2008-01-07,171.12549346462845
2008-01-08,171.6053493953745
2008-01-09,171.63117750957824
2008-01-10,172.12594380761607
2008-01-11,172.7116477409946
2008-01-14,173.26259663913808
2008-01-15,172.77955890553858
2008-01-16,171.7439317521481
2008-01-17,171.51631834531088
2008-01-18,171.22590844536077
2008-01-21,169.7504782609865
2008-01-22,170.77670417202594
2008-01-23,170.23286323683905
2008-01-24,171.68724327269118
2008-01-25,171.81244891097867
2008-01-28,171.65704230202823
