,Return_Incl_Costs_BRLUSD Curncy,Return_Incl_Costs_ARSUSD Curncy,Return_Incl_Costs_MXNUSD Curncy,Return_Incl_Costs_COPUSD Curncy,Return_Incl_Costs_CLPUSD Curncy,Return_Incl_Costs_PENUSD Curncy,Return_Incl_Costs_TRYUSD Curncy,Return_Incl_Costs_RUBUSD Curncy,Return_Incl_Costs_ZARUSD Curncy,Return_Incl_Costs_CNYUSD Curncy,Return_Incl_Costs_KRWUSD Curncy,Return_Incl_Costs_IDRUSD Curncy,Return_Incl_Costs_INRUSD Curncy,Return_Incl_Costs_PHPUSD Curncy,Return_Incl_Costs_THBUSD Curncy,Return_Incl_Costs_CZKEUR Curncy,Return_Incl_Costs_HUFEUR Curncy,Return_Incl_Costs_PLNEUR Curncy
2012-08-24,295.0677971178259,167.80590788045623,129.5094949028056,184.2772813438751,105.48677736729552,109.30089102438546,575.4309651311164,78.38927452828459,245.82464820412022,90.29121883458292,161.80400577646802,155.78065198155807,118.3474198722232,97.35678373839026,120.3922021445886,52.733893673478555,50.288058470574036,63.67966103455547
2012-08-27,294.10960348063145,167.80590788045623,129.44474015535422,184.2772813438751,105.48677736729552,109.3537992640277,575.4309651311164,78.38927452828459,245.82464820412022,90.29121883458292,161.80400577646802,155.78065198155807,118.2882461622871,97.20224899249958,120.3922021445886,52.733893673478555,50.471207638274414,63.67966103455547
2012-08-28,293.96254867889115,167.80590788045623,129.44474015535422,184.2772813438751,105.48677736729552,109.36433192284547,575.4309651311164,78.38927452828459,245.82464820412022,90.29121883458292,161.80400577646802,155.78065198155807,118.2882461622871,97.6494092621414,120.3922021445886,52.733893673478555,50.44597203445528,63.67966103455547
2012-08-29,293.96254867889115,167.80590788045623,129.44474015535422,184.2772813438751,105.45506661629283,109.41681150776797,575.4309651311164,78.38927452828459,245.82464820412022,90.29121883458292,161.80400577646802,155.78065198155807,118.2882461622871,97.76090466540109,120.3922021445886,52.733893673478555,50.44597203445528,63.67966103455547
2012-08-30,293.96254867889115,167.80590788045623,129.44474015535422,184.2772813438751,105.25763381047885,109.42783405769336,575.4309651311164,78.38927452828459,245.82464820412022,90.29121883458292,161.80400577646802,155.78065198155807,118.2882461622871,97.4909590173328,120.3922021445886,52.733893673478555,50.44597203445528,63.67966103455547
2012-08-31,293.96254867889115,167.80590788045623,129.44474015535422,184.2772813438751,105.27914995707147,109.39690968151403,575.4309651311164,78.38927452828459,245.82464820412022,90.29121883458292,161.80400577646802,155.78065198155807,118.2882461622871,97.10291844353526,120.3922021445886,52.733893673478555,50.44597203445528,63.67966103455547
2012-09-03,293.96254867889115,167.80590788045623,129.44474015535422,184.2772813438751,105.5202597346211,109.57578117224801,575.4309651311164,78.38927452828459,245.82464820412022,90.29121883458292,161.80400577646802,155.78065198155807,118.2882461622871,96.90781521626263,120.3922021445886,52.733893673478555,50.44597203445528,63.67966103455547
2012-09-04,293.96254867889115,167.80590788045623,129.44474015535422,184.2772813438751,105.54121178748267,109.41919972691906,575.4309651311164,78.38927452828459,245.82464820412022,90.29121883458292,161.80400577646802,155.78065198155807,118.2882461622871,96.85936130865451,120.3922021445886,52.733893673478555,50.44597203445528,63.67966103455547
2012-09-05,293.96254867889115,167.80590788045623,129.44474015535422,184.2772813438751,105.56272793407527,109.42991609490231,575.4309651311164,78.38927452828459,245.82464820412022,90.29121883458292,161.80400577646802,155.78065198155807,118.2882461622871,96.85936130865451,120.3922021445886,52.492580183321735,50.44597203445528,63.67966103455547
2012-09-06,293.96254867889115,167.80590788045623,129.44474015535422,184.2772813438751,105.5842440806679,109.56384007649619,575.4309651311164,78.38927452828459,245.82464820412022,90.29121883458292,161.80400577646802,155.78065198155807,118.2882461622871,96.85936130865451,120.3922021445886,52.09282910047359,50.44597203445528,63.67966103455547
