,Spot_Incl_Costs_ARSUSD Curncy
2000-07-21,98.59979368256167
2000-07-24,98.55049378572039
2000-07-25,98.55049378572039
2000-07-26,98.55049378572039
2000-07-27,98.55049378572039
2000-07-28,98.55049378572039
2000-07-31,98.55049378572039
2000-08-01,98.55049378572039
2000-08-02,98.55049378572039
2000-08-03,98.55049378572039
2000-08-04,98.55049378572039
2000-08-07,98.55049378572039
2000-08-08,98.55049378572039
2000-08-09,98.53076299549785
2000-08-10,98.53076299549785
2000-08-11,98.53076299549785
2000-08-14,98.50121853882754
2000-08-15,98.50121853882754
2000-08-16,98.50121853882754
2000-08-17,98.45196792955814
2000-08-18,98.45196792955814
2000-08-21,98.45196792955814
2000-08-22,98.33390820984647
2000-08-23,98.35357499148844
2000-08-24,98.35357499148844
2000-08-25,98.3043982039927
2000-08-28,98.3043982039927
2000-08-29,98.3043982039927
2000-08-30,98.3043982039927
2000-08-31,98.3043982039927
2000-09-01,98.3043982039927
2000-09-04,98.18651544407987
2000-09-05,98.18651544407987
2000-09-06,98.13742218635784
2000-09-07,98.08835347526467
2000-09-08,98.03930929852704
2000-09-11,97.96090724818247
2000-09-12,97.96090724818247
2000-09-13,97.96090724818247
2000-09-14,97.91192679455838
2000-09-15,97.91192679455838
2000-09-18,97.91192679455838
2000-09-19,97.91192679455838
2000-09-20,97.91192679455838
2000-09-21,97.91192679455838
2000-09-22,97.91192679455838
2000-09-25,97.82384911585783
2000-09-26,97.82384911585783
2000-09-27,97.82384911585783
2000-09-28,97.7749371912999
2000-09-29,97.7749371912999
2000-10-02,97.7749371912999
2000-10-03,97.7749371912999
2000-10-04,97.7749371912999
2000-10-05,97.75536167523056
2000-10-06,97.70648399439295
2000-10-09,97.62835688226615
2000-10-10,97.59908301213653
2000-10-11,97.59908301213653
2000-10-12,97.62835688226615
2000-10-13,97.57954270382501
2000-10-16,97.57954270382501
2000-10-17,97.47228125805317
2000-10-18,97.47228125805317
2000-10-19,97.47228125805317
2000-10-20,97.51126237433313
2000-10-23,97.46250674314597
2000-10-24,97.46250674314597
2000-10-25,97.46250674314597
2000-10-26,97.46250674314597
2000-10-27,97.46250674314597
2000-10-30,97.46250674314597
2000-10-31,97.4137754897744
2000-11-01,97.4137754897744
2000-11-02,97.4137754897744
2000-11-03,97.4137754897744
2000-11-06,97.46245803624605
2000-11-07,97.41377548977441
