,Return_Incl_Costs_ARSUSD Curncy
2007-03-02,163.37112242822735
2007-03-05,163.37112242822735
2007-03-06,163.37112242822735
2007-03-07,163.37112242822735
2007-03-08,163.33347738665964
2007-03-09,163.4029875694747
2007-03-12,163.23683784794036
2007-03-13,163.11276907168636
2007-03-14,162.97380632550767
2007-03-15,162.8923194223449
2007-03-16,162.8923194223449
2007-03-19,162.8923194223449
2007-03-20,162.8923194223449
2007-03-21,162.8923194223449
2007-03-22,162.8923194223449
2007-03-23,162.8923194223449
2007-03-26,162.8923194223449
2007-03-27,162.8923194223449
2007-03-28,162.8086453118083
2007-03-29,162.54429926340137
2007-03-30,162.4477812062988
2007-04-02,162.5242661610999
2007-04-03,162.46952105375806
2007-04-04,162.38828629323118
2007-04-05,162.38828629323118
2007-04-06,162.38828629323118
2007-04-09,162.38828629323118
2007-04-10,162.38828629323118
2007-04-11,162.38828629323118
2007-04-12,162.38828629323118
2007-04-13,162.38828629323118
2007-04-16,162.38828629323118
2007-04-17,162.38828629323118
2007-04-18,162.38828629323118
2007-04-19,162.38828629323118
2007-04-20,162.38828629323118
2007-04-23,162.38828629323118
2007-04-24,162.38828629323118
2007-04-25,162.38828629323118
2007-04-26,162.38828629323118
2007-04-27,162.38828629323118
2007-04-30,162.38828629323118
2007-05-01,162.18991010325072
2007-05-02,161.96133145942142
2007-05-03,162.01120154950954
2007-05-04,161.7866374859321
2007-05-07,161.70574416718912
2007-05-08,161.70574416718912
2007-05-09,161.70574416718912
2007-05-10,161.70574416718912
2007-05-11,161.70574416718912
2007-05-14,161.70574416718912
2007-05-15,161.70574416718912
2007-05-16,161.70574416718912
2007-05-17,161.70574416718912
2007-05-18,161.70574416718912
2007-05-21,161.70574416718912
2007-05-22,161.70574416718912
2007-05-23,161.70574416718912
2007-05-24,161.70574416718912
2007-05-25,161.63235121152073
2007-05-28,161.59262168214332
2007-05-29,161.52670889711828
2007-05-30,161.4032125445241
2007-05-31,161.31102981496605
2007-06-01,161.04609992405202
2007-06-04,160.96557687409
2007-06-05,160.96557687409
