,Return_Ex_Costs_ARSUSD Curncy
2007-07-11,180.711170353579
2007-07-12,180.631323630133
2007-07-13,180.656401342984
2007-07-16,180.693128988395
2007-07-17,180.758805931425
2007-07-18,180.595003344077
2007-07-19,180.552857358248
2007-07-20,180.930962546589
2007-07-23,181.942335997766
2007-07-24,182.632811328762
2007-07-25,184.796345125338
2007-07-26,182.624155721468
2007-07-27,181.205205080081
2007-07-30,181.360699507226
2007-07-31,181.360699507226
2007-08-01,181.360699507226
2007-08-02,181.360699507226
2007-08-03,181.360699507226
2007-08-06,181.355224862893
2007-08-07,181.401852867049
2007-08-08,180.979152046597
2007-08-09,181.38105259848
2007-08-10,181.549195485327
2007-08-13,181.29204153405
2007-08-14,181.34206494902
2007-08-15,181.650663664797
2007-08-16,182.365694822853
2007-08-17,181.544097345414
2007-08-20,181.544097345414
2007-08-21,181.544097345414
2007-08-22,181.544097345414
2007-08-23,181.544097345414
2007-08-24,181.544097345414
2007-08-27,181.544097345414
2007-08-28,181.544097345414
2007-08-29,181.544097345414
2007-08-30,181.544097345414
2007-08-31,181.544097345414
2007-09-03,181.544097345414
2007-09-04,181.305224186713
2007-09-05,181.195667065636
2007-09-06,181.42946251394
2007-09-07,181.587368268802
2007-09-10,181.587368268802
2007-09-11,181.587368268802
2007-09-12,181.587368268802
2007-09-13,181.587368268802
2007-09-14,181.587368268802
2007-09-17,181.587368268802
2007-09-18,181.587368268802
2007-09-19,181.587368268802
2007-09-20,181.587368268802
2007-09-21,181.587368268802
2007-09-24,181.587368268802
2007-09-25,181.587368268802
2007-09-26,181.587368268802
2007-09-27,181.832846718705
2007-09-28,181.68060482742
2007-10-01,181.59563141362
2007-10-02,181.445698524442
2007-10-03,181.501880668221
2007-10-04,181.897559549974
2007-10-05,181.735233449252
2007-10-08,181.93589301411
2007-10-09,181.559191675085
2007-10-10,181.998700338056
2007-10-11,181.674908246883
2007-10-12,181.651358868822
2007-10-15,181.644350000509
2007-10-16,181.993753306694
2007-10-17,181.761819934072
2007-10-18,181.821654260122
2007-10-19,181.901732610522
2007-10-22,182.111730778671
2007-10-23,182.199391551152
2007-10-24,182.587165883319
2007-10-25,182.579808014844
2007-10-26,181.957428349003
2007-10-29,181.155886547513
2007-10-30,180.623090927493
2007-10-31,180.308432842298
2007-11-01,180.308432842298
2007-11-02,180.308432842298
2007-11-05,180.308432842298
2007-11-06,180.308432842298
2007-11-07,180.308432842298
2007-11-08,180.308432842298
2007-11-09,180.308432842298
2007-11-12,180.308432842298
2007-11-13,180.308432842298
2007-11-14,180.308432842298
2007-11-15,180.308432842298
2007-11-16,180.308432842298
2007-11-19,180.308432842298
2007-11-20,180.308432842298
2007-11-21,180.308432842298
2007-11-22,180.379235778283
2007-11-23,180.495660305555
2007-11-26,180.405196453963
2007-11-27,180.795505248873
2007-11-28,180.699077641044
2007-11-29,180.600490143899
2007-11-30,180.334534283393
2007-12-03,179.986386111328
2007-12-04,179.808276398624
2007-12-05,179.522446589729
2007-12-06,179.608510346793
2007-12-07,179.608510346793
2007-12-10,179.608510346793
2007-12-11,179.608510346793
2007-12-12,179.608510346793
2007-12-13,179.608510346793
2007-12-14,179.608510346793
2007-12-17,179.608510346793
2007-12-18,179.608510346793
2007-12-19,179.608510346793
2007-12-20,179.608510346793
2007-12-21,179.608510346793
2007-12-24,179.608510346793
2007-12-25,179.608510346793
2007-12-26,179.650537432388
2007-12-27,179.996673986964
2007-12-28,179.855140034183
2007-12-31,180.056618754793
2008-01-01,179.973221219045
2008-01-02,179.689168491179
2008-01-03,179.43352024344
2008-01-04,179.322736552417
2008-01-07,179.09309612697
2008-01-08,179.09309612697
2008-01-09,179.09309612697
2008-01-10,179.09309612697
2008-01-11,179.09309612697
2008-01-14,179.09309612697
2008-01-15,179.09309612697
2008-01-16,179.09309612697
2008-01-17,179.09309612697
2008-01-18,179.282261058096
2008-01-21,179.619210026313
2008-01-22,179.453620211625
2008-01-23,179.474869577795
2008-01-24,179.201681409914
2008-01-25,178.955863864902
2008-01-28,179.010614658742
2008-01-29,179.008967929096
2008-01-30,179.260524579658
2008-01-31,179.314342647659
2008-02-01,179.055034667118
2008-02-04,179.257807890447
2008-02-05,179.630228120022
2008-02-06,179.860687322199
2008-02-07,179.776050908493
2008-02-08,179.744500151805
2008-02-11,179.656174115901
