,Return_Ex_Costs_BRLUSD Curncy,Return_Ex_Costs_ARSUSD Curncy,Return_Ex_Costs_MXNUSD Curncy,Return_Ex_Costs_COPUSD Curncy,Return_Ex_Costs_CLPUSD Curncy,Return_Ex_Costs_PENUSD Curncy,Return_Ex_Costs_TRYUSD Curncy,Return_Ex_Costs_RUBUSD Curncy,Return_Ex_Costs_ZARUSD Curncy,Return_Ex_Costs_CNYUSD Curncy,Return_Ex_Costs_KRWUSD Curncy,Return_Ex_Costs_IDRUSD Curncy,Return_Ex_Costs_INRUSD Curncy,Return_Ex_Costs_PHPUSD Curncy,Return_Ex_Costs_THBUSD Curncy,Return_Ex_Costs_CZKEUR Curncy,Return_Ex_Costs_HUFEUR Curncy,Return_Ex_Costs_PLNEUR Curncy
2012-07-30,278.516535225948,302.580840859691,145.358067300469,232.732808402919,101.721034494073,122.275985417358,420.029136099459,141.654924978494,144.272137520601,101.940122053514,120.685930834669,255.680038186606,163.67317945374,151.416735561563,114.512654189508,88.562715601411,89.673475953134,89.279400297143
2012-07-31,276.348909965127,302.326005722548,145.358067300469,232.732808402919,101.740235828126,122.335841881107,421.718943913659,141.7732717478,143.398122640011,101.940122053514,121.437925448249,255.680038186606,163.528807546614,151.416735561563,114.928891043127,88.562715601411,88.546841386159,89.301329721901
2012-08-01,278.090709966816,303.134787082847,145.8013873646,232.732808402919,102.150388914531,122.395491229064,422.223593654785,141.039040693675,143.471668722428,101.940122053514,121.870394495572,254.992297024648,164.116653697602,151.416735561563,115.002634525013,88.562715601411,88.949526433527,89.615908226227
2012-08-02,278.090709966816,303.098957792551,144.228620217221,232.732808402919,102.171085434432,122.409851257276,419.700968315564,140.234763746823,141.521260431009,101.940122053514,121.33214666378,254.79237579583,163.108100471963,151.416735561563,114.791726306959,88.562715601411,88.624948590081,89.188284443448
2012-08-03,278.090709966816,303.285612384986,147.247917452103,232.732808402919,102.191703260341,122.611029729437,425.870425684676,142.614784629385,145.461132519682,101.940122053514,121.011526491098,255.022330714561,163.394794161973,151.416735561563,114.581655026278,88.562715601411,89.889110151291,90.448999823382
2012-08-06,278.090709966816,303.417446507061,147.851390212489,232.717514831914,102.211612840322,122.624768410274,426.555505370303,144.486972789673,145.550655854487,101.940122053514,121.642218810917,255.144892439056,163.394794161973,151.416735561563,114.908060601837,88.562715601411,90.576966013882,91.02179277336
2012-08-07,278.090709966816,303.505170301021,146.978686913429,232.768921793274,102.231679808287,122.87296216711,424.775655741189,144.634088407778,145.800205320345,101.940122053514,121.679335919672,255.132757614849,164.794218260451,151.416735561563,114.971016890912,88.562715601411,90.148039066554,90.356977795111
2012-08-08,279.244932767306,303.706620347692,146.851563696784,232.926484129842,102.250802448348,122.886424693559,425.492873428447,144.685949309124,146.380543085627,101.940122053514,121.748594653436,254.504881585648,163.815222924749,151.416735561563,114.837199904237,88.562715601411,90.137082852429,90.412163826836
2012-08-09,280.338052898759,303.935342612246,147.6237284823,232.610074282673,103.34323244556,122.899611065619,425.266937735947,144.233152645422,146.30725061039,101.940122053514,122.051104065277,255.08421831802,164.223621022877,151.416735561563,114.907967608796,88.562715601411,90.235379531573,90.576181425232
2012-08-10,280.114487718005,304.048737623444,147.925102343814,232.686156585485,103.363456801509,122.912797437679,425.714999659547,143.595234693797,146.605915333586,101.940122053514,121.548679716466,254.588712996215,164.306439258978,151.416735561563,114.989987471372,88.562715601411,90.154091491292,90.418824209976
2012-08-13,279.43154958321,304.221369658506,147.151406923877,231.98959225906,102.029514942789,122.925983809739,422.63612369296,143.474674936122,145.477701522158,101.940122053514,121.467479821709,254.588712996215,164.187636445582,151.416735561563,115.181925108966,88.562715601411,89.411012775249,89.934655133607
2012-08-14,278.669310331018,304.439436987733,147.261370923066,232.032517071795,102.04903105281,122.938203641439,421.057482888712,143.564252856629,145.287580672323,101.940122053514,121.636944798145,254.588712996215,163.308323759817,151.416735561563,115.21763443689,88.562715601411,89.634201459758,90.218287776137
2012-08-15,279.256182717201,304.559456829186,147.268137938401,228.755580319918,102.068389774847,122.997231642022,422.319245767397,143.281182779151,144.307727061633,101.940122053514,121.64729380434,253.82874910051,163.354405502083,151.416735561563,114.751460320001,88.562715601411,89.778752800952,90.193005505445
2012-08-16,280.137649379553,304.726071310099,147.442791381802,228.755580319918,101.947751885081,123.128474015247,423.186764022627,143.428971915455,144.414157541821,101.940122053514,121.176911570862,253.82874910051,163.066099217134,151.416735561563,114.808465054422,88.562715601411,90.072008241921,90.987131595799
2012-08-17,280.413273151978,304.803747444839,147.578453927322,228.755580319918,101.947751885081,123.165685819123,423.186764022627,142.532134324642,142.755312972537,101.940122053514,121.174324319313,253.82874910051,163.205526027068,151.416735561563,115.036205012982,88.562715601411,90.071213032831,90.592266023971
2012-08-20,280.297906018742,304.801704788844,147.594968667127,228.755580319918,101.947751885081,123.179148345572,423.186764022627,142.662796855307,142.755312972537,101.940122053514,121.174324319313,253.82874910051,163.205526027068,151.416735561563,114.900435172436,88.562715601411,90.412225197464,90.555384718696
2012-08-21,280.47636110629,304.961418404908,147.860654578721,228.755580319918,101.947751885081,123.1906777913,423.186764022627,142.662796855307,142.755312972537,101.940122053514,121.174324319313,253.82874910051,163.205526027068,151.416735561563,114.900435172436,88.562715601411,90.861827581124,90.532866280463
2012-08-22,280.514081526526,305.347093939587,146.901913513262,228.755580319918,101.947751885081,123.108659937859,423.186764022627,141.999760732823,142.755312972537,101.940122053514,121.174324319313,253.82874910051,163.205526027068,151.416735561563,115.091838943317,88.562715601411,90.218194179577,90.306050783897
2012-08-23,279.552872572272,305.695449597163,147.43062686614,228.755580319918,101.947751885081,123.12108688535,423.186764022627,142.823991093347,142.755312972537,101.940122053514,121.174324319313,253.82874910051,163.955051438213,151.416735561563,115.908204323822,88.562715601411,90.292811299161,90.044664727227
2012-08-24,279.150190542211,305.420187900067,147.105729570367,228.755580319918,101.947751885081,123.22706113201,423.186764022627,142.141174203009,142.755312972537,101.940122053514,121.174324319313,253.82874910051,163.29836205647,151.416735561563,115.769499215985,88.562715601411,89.848554487715,90.044664727227
2012-08-27,278.243687226661,305.552022022142,147.105729570367,228.755580319918,101.968097112484,123.286710479967,423.186764022627,142.153822482454,142.755312972537,101.940122053514,121.174324319313,253.82874910051,162.78215527388,151.416735561563,115.655658970289,88.562715601411,90.175783028127,90.044664727227
2012-08-28,278.243687226661,305.714275156471,147.105729570367,228.755580319918,101.988130535635,123.298585118681,423.186764022627,141.457786713598,142.755312972537,101.940122053514,121.174324319313,253.82874910051,162.87520496503,151.416735561563,115.5050781074,88.562715601411,89.166839406428,90.044664727227
2012-08-29,278.243687226661,306.204236560748,147.105729570367,228.755580319918,102.008475763038,123.357751196458,423.186764022627,140.800076182459,142.755312972537,101.940122053514,121.174324319313,253.82874910051,163.073055743456,151.416735561563,115.343456503486,88.562715601411,89.166839406428,90.044664727227
2012-08-30,278.243687226661,306.343468409941,147.105729570367,228.755580319918,101.817495659066,123.370178143949,423.186764022627,140.800076182459,142.755312972537,101.940122053514,121.174324319313,253.82874910051,163.0998702928,151.416735561563,115.215884916011,88.562715601411,89.166839406428,90.044664727227
2012-08-31,278.243687226661,306.231729606307,147.105729570367,228.755580319918,101.838308592846,123.335313652377,423.186764022627,140.800076182459,142.755312972537,101.940122053514,121.174324319313,253.82874910051,163.466620682831,151.416735561563,115.526139016751,88.562715601411,89.166839406428,90.044664727227
2012-09-03,278.243687226661,306.544697628937,147.105729570367,228.755580319918,102.07153817288,123.536975394718,423.186764022627,140.800076182459,142.755312972537,101.940122053514,121.174324319313,253.82874910051,163.491725938193,151.416735561563,115.830176901955,88.562715601411,89.166839406428,90.044664727227
2012-09-04,278.243687226661,306.192643107802,147.105729570367,228.755580319918,102.09180544922,123.360443701748,423.186764022627,140.800076182459,142.755312972537,101.940122053514,120.959491343401,253.82874910051,163.174865566264,151.416735561563,115.987066759715,88.562715601411,89.166839406428,90.044664727227
2012-09-05,278.243687226661,306.315864950545,147.105729570367,228.755580319918,102.112618383,123.372525456253,423.186764022627,140.800076182459,142.755312972537,101.940122053514,120.681308911279,253.82874910051,162.488370370709,151.416735561563,115.624670671949,88.562715601411,89.166839406428,90.044664727227
2012-09-06,278.243687226661,306.385480875141,147.692162317049,229.599894098557,102.13343131678,123.52351286827,423.186764022627,140.800076182459,142.755312972537,101.940122053514,120.903478130946,253.82874910051,163.320582878237,151.416735561563,115.818208367566,88.562715601411,89.166839406428,90.044664727227
2012-09-07,278.243687226661,306.285777179803,148.587307099572,229.979669847043,103.229890966765,123.531935577125,423.186764022627,140.800076182459,142.755312972537,101.940122053514,121.283971421925,253.82874910051,164.108567403979,151.416735561563,115.975283783999,88.562715601411,89.166839406428,90.044664727227
2012-09-10,278.243687226661,306.510855787717,148.113147835185,230.256865416816,103.251171606922,123.539736938606,423.186764022627,140.935333963493,143.165815245598,101.940122053514,121.399170276567,253.82874910051,164.012205955739,151.416735561563,116.345380556681,88.562715601411,89.166839406428,90.044664727227
2012-09-11,279.136260493407,306.7775604124,148.52876793013,230.101976983201,103.273231757707,123.690586273428,422.283856960123,141.417154731203,143.120673248258,101.940122053514,121.534791647609,253.82874910051,164.35994045022,151.416735561563,116.347792819426,88.562715601411,89.166839406428,90.986875919626
2012-09-12,277.891275055517,306.992370533419,148.241757829883,229.499859333708,103.295525761681,123.746438498541,421.595276321546,141.775690744139,139.974648765728,101.940122053514,121.726921923252,253.82874910051,164.758099117172,151.416735561563,117.01793796585,88.562715601411,89.166839406428,90.541223206579
2012-09-13,278.697742026489,307.051441936526,149.36000812002,231.092906600398,103.318755178409,124.088593786128,421.574962985429,142.759910918443,140.420270684427,101.940122053514,121.527752819142,253.82874910051,164.256955487799,151.416735561563,116.678829491507,88.562715601411,89.166839406428,90.813250895267
2012-09-14,279.892617320205,306.861916584314,151.790785068374,230.72662154539,104.441172532322,124.239857352533,424.145705491903,146.531227111905,142.271589551497,101.940122053514,122.755582263845,253.82874910051,167.663471563223,151.416735561563,117.688732567629,88.562715601411,89.448114855488,91.365351201783
2012-09-17,277.239186716487,306.98132914966,151.494165254949,229.740019131762,104.46331063417,123.865806233052,424.285895148302,146.153328470564,141.680353630369,101.940122053514,122.903695076957,254.810504663856,168.643965323697,151.416735561563,117.460031503537,88.562715601411,88.863661904941,90.502862075543
2012-09-18,278.479686311776,307.072807014098,150.387847025341,230.545133536897,104.487397512589,123.873745671727,424.391054663846,144.401057369514,142.371316092411,101.940122053514,122.645439469089,253.968382366687,168.735946706108,151.416735561563,117.179281231755,88.562715601411,88.814061499342,89.997258732357
2012-09-19,278.49445676912,307.044320244001,150.534074827532,230.198448168641,104.511562342071,123.977165490292,424.992923612535,143.256417351175,141.569693614871,102.092007125036,123.059144133824,252.840358695142,168.778251732165,151.416735561563,117.533698296595,88.562715601411,88.850520673485,89.647963362671
2012-09-20,278.861639397607,307.290046239543,149.544034127377,230.879982730686,104.533466590731,123.977165490292,423.870024501744,143.058488260809,140.20458304943,102.215678530453,122.157678397798,252.592054758887,167.620098228428,151.416735561563,117.24135060777,88.562715601411,89.058877774259,89.390571081795
2012-09-21,278.760215590513,307.339180397268,150.192849928773,230.405135774385,104.554591328762,123.977165490292,425.251193171736,144.082088466798,141.144199228931,102.18899723599,122.579214998434,252.820253113259,170.556772120526,151.416735561563,117.588530884375,88.562715601411,89.294136789935,89.794317440795
2012-09-24,278.261192953883,307.605664194276,149.533303280995,230.059850383754,104.57563811573,123.977165490292,424.314499642017,143.595497196438,141.507654429535,102.13743743723,122.454498854596,251.783709839282,170.58027491278,151.416735561563,117.045678987417,88.562715601411,89.09750503036,89.794317440795
2012-09-25,277.64586664202,307.633985343616,150.45519509853,230.611314297357,103.934568574888,123.977165490292,426.696341941199,144.607217915434,142.643576175452,102.205492766013,122.571283924104,251.932792728944,170.954610294857,151.416735561563,117.031298190283,88.562715601411,88.545573309175,89.794317440795
2012-09-26,277.071241145948,307.90107641673,149.910644685115,230.827929017171,103.955225606542,123.977165490292,426.205850876253,142.723991839662,142.093175125312,102.284995812353,122.41325726808,251.932792728944,170.536901577985,151.416735561563,116.918664075959,88.562715601411,88.33403045532,89.794317440795
2012-09-27,277.071241145948,308.038486437603,150.497077431797,230.845746914218,103.975960589259,123.977165490292,426.930290771444,144.060480895969,142.149167767885,102.290494322361,122.931453837112,251.932792728944,172.190750336527,151.416735561563,116.930725389684,88.562715601411,88.729816028993,89.794317440795
2012-09-28,277.071241145948,307.969753823707,150.291509650733,230.218429667473,103.931138728123,123.977165490292,425.110796236398,143.546108463114,140.647637258188,102.59507572098,123.486728178636,251.932792728944,172.783234363068,151.416735561563,117.656909255261,88.562715601411,88.729816028993,89.794317440795
