,Return_Ex_Costs_CNYUSD Curncy
2010-03-23,104.460810594285
2010-03-24,104.471688923826
2010-03-25,104.484124075092
2010-03-26,104.490537106757
2010-03-29,104.487913498654
2010-03-30,104.483541111247
2010-03-31,104.491508846898
2010-04-01,104.505698311494
2010-04-02,104.505698311494
2010-04-05,104.505698311494
2010-04-06,104.505698311494
2010-04-07,104.505698311494
2010-04-08,104.505698311494
2010-04-09,104.505698311494
2010-04-12,104.505698311494
2010-04-13,104.505698311494
2010-04-14,104.505698311494
2010-04-15,104.505698311494
2010-04-16,104.505698311494
2010-04-19,104.552223587684
2010-04-20,104.535866887298
2010-04-21,104.585536977625
2010-04-22,104.583101069116
2010-04-23,104.614386762114
2010-04-26,104.617994104332
2010-04-27,104.62169920125
2010-04-28,104.631548234707
2010-04-29,104.656715572421
2010-04-30,104.662179849612
2010-05-03,104.662179849612
2010-05-04,104.662179849612
2010-05-05,104.662179849612
2010-05-06,104.662179849612
2010-05-07,104.668528552713
2010-05-10,104.699208522809
2010-05-11,104.75925256582
2010-05-12,104.746240440337
2010-05-13,104.773148779964
2010-05-14,104.766591656205
2010-05-17,104.796741639648
2010-05-18,104.807121946852
2010-05-19,104.820051242326
2010-05-20,104.831318001736
2010-05-21,104.840921151818
2010-05-24,104.86268173494
2010-05-25,104.908486876558
2010-05-26,104.873565414292
2010-05-27,104.91231395587
2010-05-28,104.92114674313
2010-05-31,104.867878164888
2010-06-01,104.912510223875
2010-06-02,104.90181468812
2010-06-03,104.880332083466
2010-06-04,104.890532771149
2010-06-07,104.946966635875
2010-06-08,104.905052555922
2010-06-09,104.880920530748
2010-06-10,104.922226408018
2010-06-11,104.961894954896
2010-06-14,104.973683470206
2010-06-15,104.977711819884
2010-06-16,104.977711819884
2010-06-17,104.918985337525
2010-06-18,104.918985337525
2010-06-21,104.918985337525
2010-06-22,104.918985337525
2010-06-23,104.918985337525
2010-06-24,104.918985337525
2010-06-25,104.918985337525
2010-06-28,104.918985337525
2010-06-29,104.918985337525
2010-06-30,104.918985337525
2010-07-01,104.918985337525
2010-07-02,104.918985337525
2010-07-05,104.918985337525
2010-07-06,104.918985337525
2010-07-07,104.918985337525
2010-07-08,104.918985337525
2010-07-09,104.918985337525
2010-07-12,104.918985337525
2010-07-13,104.918985337525
2010-07-14,104.918985337525
2010-07-15,104.918985337525
2010-07-16,104.918985337525
2010-07-19,104.918985337525
2010-07-20,104.918985337525
2010-07-21,104.918985337525
2010-07-22,104.965305334063
2010-07-23,104.969793232294
2010-07-26,104.95867175262
2010-07-27,104.95242914773
2010-07-28,104.946089762167
2010-07-29,104.919375229972
2010-07-30,104.895499663223
2010-08-02,104.898617487627
2010-08-03,104.884004287351
2010-08-04,104.884004287351
2010-08-05,104.884004287351
2010-08-06,104.884004287351
2010-08-09,104.884004287351
2010-08-10,104.884004287351
2010-08-11,104.884004287351
2010-08-12,104.884004287351
2010-08-13,104.884004287351
2010-08-16,105.061252613987
2010-08-17,104.829188446629
2010-08-18,104.833973999158
2010-08-19,104.821180948254
2010-08-20,104.820009221833
2010-08-23,104.97196606905
2010-08-24,104.928309198631
2010-08-25,104.963545101227
2010-08-26,104.978135775085
2010-08-27,104.960412062735
2010-08-30,105.04791369456
2010-08-31,105.119846642637
2010-09-01,105.171624687998
2010-09-02,105.128587364259
2010-09-03,105.069394942733
2010-09-06,104.828993127235
2010-09-07,104.890945851554
2010-09-08,104.890945851554
2010-09-09,104.890945851554
2010-09-10,104.890945851554
2010-09-13,104.890945851554
2010-09-14,104.890945851554
2010-09-15,104.890945851554
2010-09-16,104.890945851554
2010-09-17,104.890945851554
2010-09-20,104.890945851554
2010-09-21,104.890945851554
2010-09-22,104.890945851554
2010-09-23,104.890945851554
2010-09-24,104.890945851554
2010-09-27,104.890945851554
2010-09-28,104.890945851554
2010-09-29,104.890945851554
2010-09-30,104.890945851554
2010-10-01,104.890945851554
2010-10-04,104.890945851554
2010-10-05,104.890945851554
2010-10-06,104.890945851554
2010-10-07,104.890945851554
2010-10-08,104.890945851554
2010-10-11,104.890945851554
2010-10-12,104.890945851554
2010-10-13,104.890945851554
2010-10-14,104.890945851554
2010-10-15,104.890945851554
2010-10-18,104.890945851554
2010-10-19,104.890945851554
2010-10-20,104.890945851554
2010-10-21,104.890945851554
2010-10-22,104.890945851554
2010-10-25,104.890945851554
2010-10-26,104.890945851554
2010-10-27,104.890945851554
2010-10-28,104.968846210172
2010-10-29,104.762301001065
2010-11-01,104.789992845775
2010-11-02,104.951707886068
2010-11-03,104.809492052687
2010-11-04,105.028825971719
2010-11-05,104.683550979289
2010-11-08,105.022718274961
2010-11-09,104.475823396834
2010-11-10,104.475823396834
2010-11-11,104.475823396834
2010-11-12,104.475823396834
2010-11-15,104.475823396834
2010-11-16,104.475823396834
2010-11-17,104.475823396834
2010-11-18,104.475823396834
2010-11-19,104.475823396834
2010-11-22,104.475823396834
2010-11-23,104.475823396834
2010-11-24,104.475823396834
2010-11-25,104.475823396834
2010-11-26,104.565498502612
2010-11-29,104.770994192193
2010-11-30,104.737107061731
2010-12-01,104.686558497673
2010-12-02,104.740485136351
2010-12-03,104.674218170976
2010-12-06,104.484563073484
2010-12-07,104.483794691641
2010-12-08,104.727553116124
2010-12-09,104.632783680758
2010-12-10,104.533570752136
2010-12-13,104.80297052757
2010-12-14,104.65397862327
2010-12-15,104.637310970052
2010-12-16,104.637310970052
2010-12-17,104.57425966096
2010-12-20,104.57425966096
2010-12-21,104.254277723095
2010-12-22,104.198786756394
2010-12-23,104.051226808106
2010-12-24,104.051226808106
2010-12-27,104.051226808106
2010-12-28,104.051226808106
2010-12-29,104.051226808106
2010-12-30,104.051226808106
2010-12-31,104.051226808106
2011-01-03,104.051226808106
2011-01-04,104.051226808106
2011-01-05,104.051226808106
2011-01-06,104.051226808106
2011-01-07,104.051226808106
2011-01-10,104.051226808106
2011-01-11,104.051226808106
2011-01-12,103.879262118772
2011-01-13,103.657020551519
2011-01-14,103.657020551519
2011-01-17,103.657020551519
2011-01-18,103.657020551519
2011-01-19,103.657020551519
2011-01-20,103.657020551519
2011-01-21,103.657020551519
2011-01-24,103.657020551519
2011-01-25,103.657020551519
2011-01-26,103.657020551519
2011-01-27,103.657020551519
2011-01-28,103.657020551519
2011-01-31,103.657020551519
2011-02-01,103.657020551519
2011-02-02,103.505505657873
2011-02-03,103.534827062917
2011-02-04,103.534827062917
2011-02-07,103.534827062917
2011-02-08,103.534827062917
2011-02-09,103.534827062917
2011-02-10,103.534827062917
2011-02-11,103.534827062917
2011-02-14,103.573513770498
2011-02-15,103.488497965391
2011-02-16,103.49200198906
2011-02-17,103.401919832621
2011-02-18,103.332855972668
2011-02-21,103.332855972668
2011-02-22,103.332855972668
2011-02-23,103.332855972668
2011-02-24,103.332855972668
2011-02-25,103.332855972668
2011-02-28,103.332855972668
2011-03-01,103.332855972668
2011-03-02,103.332855972668
2011-03-03,103.332855972668
2011-03-04,103.332855972668
2011-03-07,103.332855972668
2011-03-08,103.332855972668
2011-03-09,103.332855972668
2011-03-10,103.332855972668
2011-03-11,103.332855972668
2011-03-14,103.332855972668
2011-03-15,103.332855972668
2011-03-16,103.355250821432
2011-03-17,103.338335671612
2011-03-18,103.35307705638
2011-03-21,103.226023601542
2011-03-22,103.150374397682
2011-03-23,103.150374397682
2011-03-24,103.150374397682
2011-03-25,103.150374397682
2011-03-28,103.150374397682
2011-03-29,103.150374397682
2011-03-30,103.150374397682
2011-03-31,103.150374397682
2011-04-01,103.150374397682
2011-04-04,103.150374397682
2011-04-05,103.150374397682
2011-04-06,103.150374397682
2011-04-07,103.150374397682
2011-04-08,103.150374397682
2011-04-11,103.150374397682
2011-04-12,103.150374397682
2011-04-13,103.150374397682
2011-04-14,103.150374397682
2011-04-15,103.150374397682
2011-04-18,103.150374397682
2011-04-19,103.150374397682
2011-04-20,103.150374397682
2011-04-21,103.150374397682
2011-04-22,103.150374397682
2011-04-25,103.150374397682
2011-04-26,103.150374397682
2011-04-27,103.150374397682
2011-04-28,103.150374397682
2011-04-29,103.150374397682
2011-05-02,103.150374397682
2011-05-03,103.150374397682
2011-05-04,103.150374397682
2011-05-05,103.150374397682
2011-05-06,103.150374397682
2011-05-09,103.150374397682
2011-05-10,103.150374397682
2011-05-11,103.150374397682
2011-05-12,103.150374397682
2011-05-13,103.150374397682
2011-05-16,103.150374397682
2011-05-17,103.150374397682
2011-05-18,103.153096682467
2011-05-19,103.143897814945
2011-05-20,102.99619002791
2011-05-23,103.073552605512
2011-05-24,103.087801480945
2011-05-25,103.007889981611
2011-05-26,103.007889981611
2011-05-27,103.007889981611
2011-05-30,103.007889981611
2011-05-31,103.007889981611
2011-06-01,103.007889981611
2011-06-02,103.007889981611
2011-06-03,103.007889981611
2011-06-06,103.007889981611
2011-06-07,103.007889981611
2011-06-08,103.007889981611
2011-06-09,103.007889981611
2011-06-10,103.007889981611
2011-06-13,103.007889981611
2011-06-14,103.007889981611
2011-06-15,103.007889981611
2011-06-16,103.007889981611
2011-06-17,103.007889981611
2011-06-20,103.007889981611
2011-06-21,103.007889981611
2011-06-22,103.007889981611
2011-06-23,103.007889981611
2011-06-24,103.007889981611
2011-06-27,103.007889981611
2011-06-28,103.007889981611
2011-06-29,103.007889981611
2011-06-30,103.007889981611
2011-07-01,103.007889981611
2011-07-04,103.007889981611
2011-07-05,103.007889981611
2011-07-06,103.007889981611
2011-07-07,103.007889981611
2011-07-08,103.007889981611
2011-07-11,103.007889981611
2011-07-12,103.007889981611
2011-07-13,103.007889981611
2011-07-14,102.807773309328
2011-07-15,102.885322838054
2011-07-18,102.964015842722
2011-07-19,102.988748792323
2011-07-20,102.988748792323
2011-07-21,102.988748792323
2011-07-22,102.988748792323
2011-07-25,102.988748792323
2011-07-26,102.988748792323
2011-07-27,102.988748792323
2011-07-28,102.988748792323
2011-07-29,102.988748792323
2011-08-01,102.988748792323
2011-08-02,102.988748792323
2011-08-03,102.988748792323
2011-08-04,102.988748792323
2011-08-05,102.988748792323
2011-08-08,102.988748792323
2011-08-09,102.988748792323
2011-08-10,102.988748792323
2011-08-11,102.988748792323
2011-08-12,102.988748792323
2011-08-15,102.988748792323
2011-08-16,102.988748792323
