,Spot_Incl_Costs_BRLUSD Curncy,Spot_Incl_Costs_ARSUSD Curncy,Spot_Incl_Costs_MXNUSD Curncy,Spot_Incl_Costs_COPUSD Curncy,Spot_Incl_Costs_CLPUSD Curncy,Spot_Incl_Costs_PENUSD Curncy,Spot_Incl_Costs_TRYUSD Curncy,Spot_Incl_Costs_RUBUSD Curncy,Spot_Incl_Costs_ZARUSD Curncy,Spot_Incl_Costs_CNYUSD Curncy,Spot_Incl_Costs_KRWUSD Curncy,Spot_Incl_Costs_IDRUSD Curncy,Spot_Incl_Costs_INRUSD Curncy,Spot_Incl_Costs_PHPUSD Curncy,Spot_Incl_Costs_THBUSD Curncy,Spot_Incl_Costs_CZKEUR Curncy,Spot_Incl_Costs_HUFEUR Curncy,Spot_Incl_Costs_PLNEUR Curncy
2017-04-28,121.27439215099965,12.468780319935487,69.86686206555711,155.02388603062604,78.52584617156842,103.96971671877864,48.25345364773026,102.94784625145658,48.12980954646888,94.63117413268992,119.42902331949738,196.79519941769607,97.34880567161191,114.44206724809378,111.0127059348611,115.05413060409072,89.02965136994015,82.43847545663287
2017-05-01,121.27439215099965,12.468780319935487,69.86686206555711,155.02388603062604,78.52584617156842,103.63220634464899,48.25860086579822,102.89637232833086,47.895613751012434,94.65074354899917,119.42902331949738,196.61948473498882,97.34880567161191,114.44206724809378,111.0127059348611,115.05413060409072,89.02965136994015,82.43847545663287
2017-05-02,121.27439215099965,12.468780319935487,69.86686206555711,155.02388603062604,78.52584617156842,103.79371230789384,48.65493665703082,102.89637232833086,48.14911139774276,94.70945179792687,119.42902331949738,196.52117499262133,97.50523452762104,114.44206724809378,111.0127059348611,115.05413060409072,89.02965136994015,82.43847545663287
2017-05-03,121.27439215099965,12.481601810402086,69.86686206555711,155.02388603062604,78.52584617156842,103.72964939971739,48.54856081695973,102.89637232833086,48.12503684204389,94.66209707202792,119.42902331949738,196.52117499262133,97.51149168186141,114.44206724809378,111.0127059348611,115.05413060409072,89.02965136994015,82.43847545663287
2017-05-04,121.27439215099965,12.424434168522382,69.08330724423509,155.02388603062604,78.52584617156842,102.98517097206677,48.25173790837427,102.89637232833086,48.12503684204389,94.66209707202792,119.42902331949738,196.52117499262133,97.41137721401556,114.44206724809378,111.0127059348611,115.05413060409072,89.02965136994015,82.43847545663287
2017-05-05,121.27439215099965,12.424434168522382,69.04876559061297,155.02388603062604,78.52584617156842,102.93367838658074,48.37870262071718,102.89637232833086,48.12503684204389,94.66209707202792,119.42902331949738,196.64304308151355,97.26120551224678,114.44206724809378,111.0127059348611,115.05413060409072,89.02965136994015,82.43847545663287
2017-05-08,121.27439215099965,12.367266526642677,69.04876559061297,155.02388603062604,78.52584617156842,102.93367838658074,47.79878271839415,102.89637232833086,48.12503684204389,94.66209707202792,119.42902331949738,196.67449003528336,97.1986339698431,114.44206724809378,111.0127059348611,115.05413060409072,89.02965136994015,82.43847545663287
2017-05-09,121.27439215099965,12.271987123509836,69.04876559061297,155.02388603062604,78.52584617156842,102.93367838658074,47.532843118216434,102.89637232833086,48.12503684204389,94.66209707202792,119.42902331949738,196.05603327781066,96.74811886453676,114.44206724809378,111.0127059348611,115.05413060409072,89.02965136994015,82.43847545663287
2017-05-10,121.27439215099965,12.271987123509836,69.04876559061297,155.02388603062604,78.52584617156842,102.93367838658074,47.900011340397285,102.89637232833086,48.12503684204389,94.66209707202792,119.42902331949738,196.3783645539511,96.74811886453676,114.44206724809378,111.0127059348611,115.05413060409072,89.02965136994015,82.43847545663287
2017-05-11,121.27439215099965,12.32915476538954,69.04876559061297,155.02388603062604,78.52584617156842,102.93367838658074,47.93261038816101,102.89637232833086,48.12503684204389,94.66209707202792,119.42902331949738,196.28017537167412,96.6997448051045,114.44206724809378,111.0127059348611,115.05413060409072,89.02965136994015,82.43847545663287
2017-05-12,121.27439215099965,12.322990188006845,69.04876559061297,155.02388603062604,78.52584617156842,102.93367838658074,47.90864408296693,102.89637232833086,48.12503684204389,94.66209707202792,119.42902331949738,196.28017537167412,96.6997448051045,114.44206724809378,111.0127059348611,115.05413060409072,89.02965136994015,82.43847545663287
2017-05-15,121.78088106980995,12.221937870933544,69.04876559061297,155.02388603062604,78.52584617156842,102.93367838658074,47.90864408296693,102.89637232833086,48.12503684204389,94.66209707202792,119.42902331949738,196.28017537167412,96.6997448051045,114.52693213096391,111.0127059348611,115.05413060409072,89.02965136994015,82.43847545663287
2017-05-16,122.31019877703669,12.146025213350105,69.19460323449482,154.91063510154507,78.52584617156842,102.93367838658074,47.90507851574683,102.61316093283224,48.475976322695566,94.77105719181483,119.42902331949738,196.06212439461873,96.62045460523774,114.43599714440765,111.0127059348611,115.05413060409072,89.02965136994015,82.43847545663287
2017-05-17,121.818689477469,12.165003377745967,69.14307122687279,154.2673333523634,78.52584617156842,102.93367838658074,47.78104692391674,101.91787130482888,48.04776458051121,94.78408145584176,119.42902331949738,195.8640107513125,96.50288136087374,114.24276029797558,111.0127059348611,115.05413060409072,89.02965136994015,82.43847545663287
2017-05-18,112.25316233972858,12.158920876057094,68.09954807252647,152.37763446414235,78.52584617156842,102.47513697176095,46.79049325217776,100.58523285115572,47.19070764681974,94.76454505980139,119.42902331949738,194.38858546037406,95.25908019681246,113.57779820878284,111.0127059348611,115.05413060409072,89.02965136994015,82.43847545663287
2017-05-19,115.01317609883947,12.158920876057094,68.83387918114056,154.58451685369602,79.19166366537209,102.42389940327507,47.44803059516744,101.91787130482888,47.87483291539831,94.8622270400032,119.42902331949738,195.58508759560507,95.84694641863247,114.44736401772717,111.0127059348611,115.05413060409072,89.02965136994015,82.43847545663287
2017-05-22,114.95566951079006,12.158920876057094,69.0013582059122,153.94568247777258,79.04852703938701,102.43377101186282,47.42430657986986,102.3813977234978,47.90080433763138,94.89478770007047,119.42902331949738,196.50788009205775,95.79902294542316,114.12909156478024,111.0127059348611,115.05413060409072,89.02965136994015,82.43847545663287
2017-05-23,114.95566951079006,12.158920876057094,69.18172023258934,153.64636846947278,78.65092530053958,102.3825541263569,47.42430657986986,102.67110173516586,48.42656727552045,94.82966637993593,119.42902331949738,195.8640107513125,95.79902294542316,113.9301712816884,111.0127059348611,115.05413060409072,89.02965136994015,82.43847545663287
2017-05-24,114.95566951079006,12.158920876057094,69.47802927641608,153.69997694857122,78.61159983788932,102.69094262331777,47.42430657986986,102.55522013049864,48.893419426393045,94.75152079577447,119.42902331949738,195.80666206509227,95.79902294542316,113.73693443525632,111.0127059348611,115.05413060409072,89.02965136994015,82.43847545663287
2017-05-25,114.95566951079006,12.158920876057094,69.69704030880976,153.09241418545523,78.61159983788932,102.87946996278272,47.480222274819596,102.09169371182972,49.13032947310451,95.0380546043665,119.42902331949738,196.23417045327935,95.79902294542316,113.87333691509075,111.0127059348611,115.05413060409072,89.02965136994015,82.43847545663287
2017-05-26,114.95566951079006,12.158920876057094,69.56821028975466,153.37832607398042,78.61159983788932,102.6596894280054,47.266751873155826,102.26551611883058,49.220279276936125,94.95339688819159,119.42902331949738,195.81969585741504,95.79902294542316,113.99268908494584,111.0127059348611,115.05413060409072,89.02965136994015,82.43847545663287
2017-05-29,114.95566951079006,12.158920876057094,69.63262529928221,153.4453366728535,78.61159983788932,102.40932780964285,47.365016026302634,102.7290425374995,48.83767588599034,95.0120060763127,119.42902331949738,195.80666206509227,95.79902294542316,114.36779590449046,111.0127059348611,115.05413060409072,89.02965136994015,82.43847545663287
2017-05-30,114.95566951079006,12.158920876057094,69.01424120781772,152.9807298540001,78.61159983788932,102.30010965398135,47.7089405623165,102.32345692116418,48.156084414702825,95.07712739644725,119.42902331949738,195.75452689580115,95.79902294542316,114.1575087480791,111.0127059348611,115.05413060409072,89.02965136994015,82.43847545663287
2017-05-31,114.95566951079006,12.158920876057094,69.05289021353425,153.1236857982627,78.61159983788932,102.69094262331777,47.99695618360889,102.14963451416334,48.161785458607646,95.51344024134876,119.42902331949738,195.90050536981627,95.83768091623075,114.02110626824468,111.0127059348611,115.05413060409072,89.02965136994015,82.43847545663287
2017-06-01,114.95566951079006,12.158920876057094,69.38784826307752,153.0471239553636,78.61159983788932,102.63959715200612,48.039311422034245,103.01874654916757,48.8623804095779,95.6957799377255,119.42902331949738,196.00477570839848,96.01079588079139,114.33937872119164,111.0127059348611,115.05413060409072,89.02965136994015,82.43847545663287
2017-06-02,114.95566951079006,12.158920876057094,68.96270920019568,153.05472802472417,78.61159983788932,102.63959715200612,48.24769919508697,102.32345692116418,49.448321033128984,95.65670714564476,119.42902331949738,196.04909060229593,96.19009352265778,114.52124869430418,111.0127059348611,115.05413060409072,89.02965136994015,82.43847545663287
2017-06-05,114.95566951079006,12.158920876057094,70.17371137931363,153.03701694444243,78.61159983788932,102.65101857824759,48.03761721249723,102.26551611883058,49.8739989780223,95.86509537007534,119.42902331949738,196.25502452099587,96.07262265384877,115.11232610691994,111.0127059348611,115.05413060409072,89.02965136994015,82.43847545663287
