,Weighted_Performance
2013-01-25,-0.02803710454070154
2013-01-28,-0.007596764856632148
2013-01-29,-0.008038910110047807
2013-01-30,-0.0010325969054222328
2013-01-31,0.021893036453130225
2013-02-01,0.0014730138849393145
2013-02-04,-0.025247869371735242
2013-02-05,0.011432720147928501
2013-02-06,-0.06804995071990737
2013-02-07,-0.0006360162243094908
2013-02-08,0.026725074566273037
2013-02-11,-0.012250728418252789
2013-02-12,-0.018498552641491632
2013-02-13,0.01318643669926655
2013-02-14,-0.028872134024609697
2013-02-15,0.00017466647449456514
2013-02-18,0.007109410402567459
2013-02-19,0.021499708186093244
2013-02-20,-0.016361918510769496
2013-02-21,-0.0009013950431952123
2013-02-22,-0.03495726559469358
2013-02-25,-0.014336825476167266
2013-02-26,0.015229079517242797
2013-02-27,-0.01913195205648592
2013-02-28,0.03747469113353545
2013-03-01,0.026242135060366992
2013-03-04,0.013884368142498158
2013-03-05,-0.00982502334139508
2013-03-06,-0.009299260722995976
2013-03-07,-0.006557697214951752
2013-03-08,-0.0021978986302880615
2013-03-11,-0.0013776936206761948
2013-03-12,-0.008350586639657903
2013-03-13,0.007177010479527152
2013-03-14,-0.025168461938661124
2013-03-15,0.009035808024681138
2013-03-18,0.008643797422495894
2013-03-19,-0.008217171226974702
2013-03-20,0.007998066326653785
2013-03-21,0.007049132021780549
2013-03-22,0.011106949857955099
2013-03-25,0.0007654450803124032
2013-03-26,-0.005282069881399244
2013-03-27,0.0004523669279066437
2013-03-28,0.0013173609112684646
2013-03-29,-0.0024275166184161857
2013-04-01,0.017939166307010035
2013-04-02,0.03548053990611158
2013-04-03,-0.006527016041872969
2013-04-04,0.027197629377732232
2013-04-05,0.03674349464999913
2013-04-08,0.03481408620390055
2013-04-09,0.0012518302480418726
2013-04-10,-0.009716590868802244
2013-04-11,0.0026403326911658186
2013-04-12,0.010531881157241407
2013-04-15,-0.0034095269768809828
2013-04-16,0.007968790359736926
2013-04-17,-0.003123611266621776
2013-04-18,-0.04150938047718614
2013-04-19,-0.0006391470267854602
2013-04-22,0.018361460283250097
2013-04-23,-0.01297440389803769
2013-04-24,-0.010428551243749978
2013-04-25,-0.011718796070956768
2013-04-26,-0.0021626867287809883
2013-04-29,-0.0052753519459326475
2013-04-30,0.001312181972703653
2013-05-01,0.0032288469515688485
2013-05-02,-0.005586748951431691
2013-05-03,0.005666498103522908
2013-05-06,0.006203662565257822
2013-05-07,0.0037792412334798535
2013-05-08,-0.004927102899461709
2013-05-09,-0.017671249833327594
2013-05-10,-0.006765566513968023
2013-05-13,0.0007160211621596285
2013-05-14,-0.02033055017499822
2013-05-15,0.02953276961517008
2013-05-16,0.0321906574662015
2013-05-17,0.0176960980207875
2013-05-20,0.025146433213907693
2013-05-21,0.006537101989660252
2013-05-22,0.0183380928054185
2013-05-23,0.04205467784070075
2013-05-24,-0.02917815468768297
2013-05-27,0.004451014376392889
2013-05-28,0.06005794431199811
2013-05-29,0.04660200623871021
2013-05-30,0.021845253688163688
2013-05-31,0.006800995918946708
2013-06-03,0.014493404652012414
2013-06-04,-0.015149446471511799
2013-06-05,0.014197833543651773
2013-06-06,0.013857584951346053
2013-06-07,0.016995076505807276
2013-06-10,0.09269437387559282
2013-06-11,0.04152177472241185
2013-06-12,-0.032152652164406145
2013-06-13,0.009456633650869638
2013-06-14,-0.02499244060934607
2013-06-17,0.02484733986057728
2013-06-18,0.06308034783279552
2013-06-19,-0.06521656007066223
2013-06-20,0.005341707925588551
2013-06-21,-0.02378091362520742
2013-06-24,0.013742061347663745
2013-06-25,0.00012619994853774782
2013-06-26,0.060805618412753684
2013-06-27,-0.003365832768973384
2013-06-28,-0.06748448696927972
2013-07-01,0.0019492816959984158
2013-07-02,0.01191343653155655
2013-07-03,0.02332527233833087
2013-07-04,-0.02487195911762738
2013-07-05,0.006937762736358764
2013-07-08,0.04633696295498938
2013-07-09,-0.0630747639949501
2013-07-10,-0.0317492228278534
2013-07-11,-0.0021852805803130168
2013-07-12,-0.018948993959432385
2013-07-15,0.07289637651895661
