,Inflation_Differential_ARSUSD Curncy
2001-02-06,3.8095
2001-02-07,3.8095
2001-02-08,3.8095
2001-02-09,3.8095
2001-02-12,3.8095
2001-02-13,3.8095
2001-02-14,3.8095
2001-02-15,3.8095
2001-02-16,3.8095
2001-02-19,3.8095
2001-02-20,3.8095
2001-02-21,3.8095
2001-02-22,3.8095
2001-02-23,3.8095
2001-02-26,3.8095
2001-02-27,3.8095
2001-02-28,3.8095
2001-03-01,3.8095
2001-03-02,7.262250000000001
2001-03-05,7.262250000000001
2001-03-06,7.262250000000001
2001-03-07,7.262250000000001
2001-03-08,7.262250000000001
2001-03-09,7.262250000000001
2001-03-12,7.262250000000001
2001-03-13,7.262250000000001
2001-03-14,7.262250000000001
2001-03-15,7.262250000000001
2001-03-16,7.262250000000001
2001-03-19,7.262250000000001
2001-03-20,7.262250000000001
2001-03-21,7.262250000000001
2001-03-22,7.262250000000001
2001-03-23,7.262250000000001
2001-03-26,7.262250000000001
2001-03-27,7.262250000000001
2001-03-28,7.262250000000001
2001-03-29,7.262250000000001
2001-03-30,7.262250000000001
2001-04-02,7.262250000000001
2001-04-03,10.715000000000002
2001-04-04,10.715000000000002
2001-04-05,10.715000000000002
2001-04-06,10.715000000000002
2001-04-09,10.715000000000002
2001-04-10,10.715000000000002
2001-04-11,10.715000000000002
2001-04-12,10.715000000000002
2001-04-13,10.715000000000002
2001-04-16,10.715000000000002
2001-04-17,10.715000000000002
2001-04-18,10.715000000000002
2001-04-19,10.715000000000002
2001-04-20,10.715000000000002
2001-04-23,10.715000000000002
2001-04-24,10.715000000000002
2001-04-25,10.715000000000002
2001-04-26,10.715000000000002
2001-04-27,10.715000000000002
2001-04-30,10.715000000000002
2001-05-01,10.715000000000002
2001-05-02,14.167750000000003
2001-05-03,14.167750000000003
2001-05-04,14.167750000000003
2001-05-07,14.167750000000003
2001-05-08,14.167750000000003
2001-05-09,14.167750000000003
2001-05-10,14.167750000000003
2001-05-11,14.167750000000003
2001-05-14,14.167750000000003
2001-05-15,14.167750000000003
2001-05-16,14.167750000000003
2001-05-17,14.167750000000003
2001-05-18,14.167750000000003
2001-05-21,14.167750000000003
2001-05-22,14.167750000000003
2001-05-23,14.167750000000003
2001-05-24,14.167750000000003
2001-05-25,14.167750000000003
2001-05-28,14.167750000000003
2001-05-29,14.167750000000003
2001-05-30,14.167750000000003
2001-05-31,14.167750000000003
2001-06-01,14.167750000000003
2001-06-04,17.620500000000003
2001-06-05,17.620500000000003
2001-06-06,17.620500000000003
2001-06-07,17.620500000000003
2001-06-08,17.620500000000003
2001-06-11,17.620500000000003
2001-06-12,17.620500000000003
2001-06-13,17.620500000000003
2001-06-14,17.620500000000003
2001-06-15,17.620500000000003
2001-06-18,17.620500000000003
2001-06-19,17.620500000000003
2001-06-20,17.620500000000003
2001-06-21,17.620500000000003
2001-06-22,17.620500000000003
2001-06-25,17.620500000000003
2001-06-26,17.620500000000003
2001-06-27,17.620500000000003
2001-06-28,17.620500000000003
2001-06-29,17.620500000000003
2001-07-02,17.620500000000003
2001-07-03,21.07325
2001-07-04,21.07325
2001-07-05,21.07325
2001-07-06,21.07325
2001-07-09,21.07325
2001-07-10,21.07325
2001-07-11,21.07325
2001-07-12,21.07325
2001-07-13,21.07325
2001-07-16,21.07325
2001-07-17,21.07325
2001-07-18,21.07325
2001-07-19,21.07325
2001-07-20,21.07325
2001-07-23,21.07325
2001-07-24,21.07325
2001-07-25,21.07325
2001-07-26,21.07325
2001-07-27,21.07325
2001-07-30,21.07325
2001-07-31,21.07325
2001-08-01,21.07325
2001-08-02,24.526000000000003
2001-08-03,24.526000000000003
2001-08-06,24.526000000000003
2001-08-07,24.526000000000003
2001-08-08,24.526000000000003
2001-08-09,24.526000000000003
2001-08-10,24.526000000000003
2001-08-13,24.526000000000003
2001-08-14,24.526000000000003
2001-08-15,24.526000000000003
2001-08-16,24.526000000000003
2001-08-17,24.526000000000003
2001-08-20,24.526000000000003
2001-08-21,24.526000000000003
2001-08-22,24.526000000000003
2001-08-23,24.526000000000003
2001-08-24,24.526000000000003
2001-08-27,24.526000000000003
2001-08-28,24.526000000000003
2001-08-29,24.526000000000003
2001-08-30,24.526000000000003
2001-08-31,24.526000000000003
2001-09-03,24.526000000000003
2001-09-04,27.97875
2001-09-05,27.97875
2001-09-06,27.97875
2001-09-07,27.97875
2001-09-10,27.97875
2001-09-11,27.97875
2001-09-12,27.97875
2001-09-13,27.97875
2001-09-14,27.97875
2001-09-17,27.97875
2001-09-18,27.97875
2001-09-19,27.97875
2001-09-20,27.97875
2001-09-21,27.97875
2001-09-24,27.97875
2001-09-25,27.97875
2001-09-26,27.97875
2001-09-27,27.97875
