,Spot_Incl_Costs_BRLUSD Curncy,Spot_Incl_Costs_ARSUSD Curncy,Spot_Incl_Costs_MXNUSD Curncy,Spot_Incl_Costs_COPUSD Curncy,Spot_Incl_Costs_CLPUSD Curncy,Spot_Incl_Costs_PENUSD Curncy,Spot_Incl_Costs_TRYUSD Curncy,Spot_Incl_Costs_RUBUSD Curncy,Spot_Incl_Costs_ZARUSD Curncy,Spot_Incl_Costs_CNYUSD Curncy,Spot_Incl_Costs_KRWUSD Curncy,Spot_Incl_Costs_IDRUSD Curncy,Spot_Incl_Costs_INRUSD Curncy,Spot_Incl_Costs_PHPUSD Curncy,Spot_Incl_Costs_THBUSD Curncy,Spot_Incl_Costs_CZKEUR Curncy,Spot_Incl_Costs_HUFEUR Curncy,Spot_Incl_Costs_PLNEUR Curncy
2019-03-14,115.03314787492802,62.02568072666972,117.28861719790412,115.50353894696339,68.96998295191526,97.38886929673926,213.40139112358918,101.16876590056175,157.45854497753044,82.39458137816284,137.1473495225554,257.44675195298515,134.99470847081315,79.16731391991635,110.96941432366236,83.6694238183141,72.6915540789514,88.63178467779538
2019-03-15,115.03314787492802,62.02568072666972,117.28861719790412,115.50353894696339,68.71125311233143,97.38886929673926,213.40139112358918,101.16876590056175,157.45854497753044,82.39458137816284,137.05389306632196,257.44675195298515,135.7623621528247,79.16731391991635,110.96941432366236,83.6694238183141,72.6915540789514,88.63178467779538
2019-03-18,115.03314787492802,62.02568072666972,118.10818436504138,115.50353894696339,68.28583892290018,97.38886929673926,213.40139112358918,101.16876590056175,157.45854497753044,82.39458137816284,136.69682016866392,257.44675195298515,136.3802297505413,79.16731391991635,110.96941432366236,83.6694238183141,72.6915540789514,88.63178467779538
2019-03-19,115.03314787492802,62.02568072666972,118.49099449549051,115.50353894696339,68.35865287976567,97.38886929673926,213.40139112358918,101.16876590056175,157.45854497753044,82.39458137816284,136.3416030334386,257.44675195298515,135.59385280799287,79.16731391991635,110.96941432366236,83.6694238183141,72.6915540789514,88.63178467779538
2019-03-20,115.03314787492802,61.49268676981807,119.07646881264802,115.50353894696339,68.35865287976567,97.38886929673926,213.40139112358918,101.16876590056175,157.45854497753044,82.39458137816284,136.29540642070987,257.44675195298515,136.06193432141455,79.16731391991635,110.96941432366236,83.6694238183141,72.6915540789514,88.63178467779538
2019-03-21,115.03314787492802,61.24169621157391,119.30165124232398,115.50353894696339,68.58720069949074,97.38886929673926,213.40139112358918,101.16876590056175,157.45854497753044,82.39458137816284,136.3724181770782,257.44675195298515,136.0993808424883,79.16731391991635,110.96941432366236,83.6694238183141,72.6915540789514,88.63178467779538
2019-03-22,115.03314787492802,59.986743420353136,117.9505566642682,115.50353894696339,69.72480364767071,97.38886929673926,213.40139112358918,101.16876590056175,157.45854497753044,82.39458137816284,136.30423196798967,255.31241510396381,135.26619574859768,79.16731391991635,110.96941432366236,83.6694238183141,72.6915540789514,88.63178467779538
2019-03-25,115.03314787492802,59.95675004864296,118.40092152362013,115.50353894696339,69.75799690294367,97.38886929673926,213.40139112358918,101.16876590056175,157.45854497753044,82.39458137816284,136.30423196798967,255.92281920445572,135.82789356470371,79.16731391991635,110.96941432366236,83.6694238183141,72.6915540789514,88.63178467779538
2019-03-26,115.03314787492802,59.95675004864296,117.88300193536543,115.50353894696339,69.84825239774489,97.38886929673926,213.40139112358918,101.16876590056175,157.45854497753044,82.39458137816284,136.5764766443673,255.6793842358072,135.67810748040878,79.16731391991635,110.96941432366236,83.6694238183141,73.257387267755,88.63178467779538
2019-03-27,115.03314787492802,59.95675004864296,116.77960802995321,115.50353894696339,69.80072041244529,97.38886929673926,213.40139112358918,101.16876590056175,157.45854497753044,82.39458137816284,136.94976390543835,254.73834458088217,135.5189597658454,79.16731391991635,110.96941432366236,83.6694238183141,73.46816619531567,88.63178467779538
