,Spot_Incl_Signals
2012-05-29,121.81919963267165
2012-05-30,121.93359799967274
2012-05-31,121.9619652661044
2012-06-01,121.8252279620242
2012-06-04,121.80652616492264
2012-06-05,121.79099486697254
2012-06-06,121.75311161362698
2012-06-07,121.75679595585768
2012-06-08,121.5900238988684
2012-06-11,121.40717855517892
2012-06-12,121.38296091135368
2012-06-13,121.54050743062112
2012-06-14,121.522770256017
2012-06-15,121.72945430002493
2012-06-18,121.77397901158236
2012-06-19,122.12486755088301
2012-06-20,122.17959302384317
2012-06-21,121.89541084559879
2012-06-22,121.72914325337328
2012-06-25,121.48501981029118
2012-06-26,121.66703549957023
2012-06-27,121.73238254653035
2012-06-28,121.47006328404586
2012-06-29,121.73203217896074
2012-07-02,121.8322635339593
2012-07-03,121.92320539223535
2012-07-04,121.54401073187832
2012-07-05,121.46237079836908
2012-07-06,120.97547534719506
2012-07-09,121.01701503098136
2012-07-10,121.25164015846089
2012-07-11,121.21967520014854
2012-07-12,121.08072049671664
2012-07-13,121.32432951127612
2012-07-16,121.25502353037729
2012-07-17,121.36066079968312
2012-07-18,121.44612988590947
2012-07-19,121.468228864792
2012-07-20,121.23592626861182
2012-07-23,120.97688166501052
2012-07-24,120.69725862928154
2012-07-25,120.82032218982803
2012-07-26,120.84100585971989
2012-07-27,120.8145421789783
2012-07-30,120.80878852872831
2012-07-31,120.64062686552961
2012-08-01,120.71854018561264
2012-08-02,120.53827454893323
2012-08-03,120.93897239154855
2012-08-06,121.09330483288349
2012-08-07,120.97338367642917
2012-08-08,120.98668759923287
2012-08-09,121.06047701735028
2012-08-10,120.98478422596214
2012-08-13,120.774827277745
2012-08-14,120.77893900195453
2012-08-15,120.83401180275519
2012-08-16,120.93467419665689
2012-08-17,120.94075622408974
2012-08-20,120.95598236640186
2012-08-21,120.98579064621696
2012-08-22,120.85788884016036
2012-08-23,120.84732619001771
2012-08-24,120.79394317971047
2012-08-27,120.7750358678733
2012-08-28,120.79487180413267
2012-08-29,120.78599683258847
2012-08-30,120.75497922619455
2012-08-31,120.75041872056994
2012-09-03,120.72305324244553
2012-09-04,120.70455369198734
2012-09-05,120.68449958823315
2012-09-06,120.68855870918463
2012-09-07,120.69459015245125
2012-09-10,120.70890916397195
2012-09-11,120.73494983843857
2012-09-12,120.66843298394474
2012-09-13,120.73293504071029
2012-09-14,120.83753192847587
2012-09-17,120.59935275096255
2012-09-18,120.56417460176212
2012-09-19,120.55927450369185
2012-09-20,120.54518888132576
2012-09-21,120.5353198555023
2012-09-24,120.48214213136231
2012-09-25,120.5763920067349
2012-09-26,120.52182693121344
2012-09-27,120.5388528282699
2012-09-28,120.4895459768031
2012-10-01,120.51735618740406
2012-10-02,120.42114646121466
2012-10-03,120.46753190421721
2012-10-04,120.46384568376362
2012-10-05,120.42293172754417
2012-10-08,120.44379858760705
2012-10-09,120.40652479961584
2012-10-10,120.3566962706108
2012-10-11,120.36928418802194
2012-10-12,120.40123820353546
2012-10-15,120.43703734668802
2012-10-16,120.45244107121115
2012-10-17,120.45153717329217
2012-10-18,120.51393293805829
2012-10-19,120.46086833533302
2012-10-22,120.35060147874506
2012-10-23,120.35628664381508
2012-10-24,120.3510321831124
2012-10-25,120.33706226355581
2012-10-26,120.23527102826557
2012-10-29,120.30750979152006
2012-10-30,120.27519184251952
2012-10-31,120.27276694833098
2012-11-01,120.28793015834978
2012-11-02,120.30753376493374
2012-11-05,120.40522857152567
2012-11-06,120.34933086457197
2012-11-07,120.3391131466097
2012-11-08,120.3137003470389
2012-11-09,120.30110768721937
2012-11-12,120.30014253720144
2012-11-13,120.2573854549327
2012-11-14,120.23768287521456
2012-11-15,120.21667069248137
2012-11-16,120.2742481507593
2012-11-19,120.18476125035389
2012-11-20,120.19696349341446
2012-11-21,120.26091732566586
2012-11-22,120.28096542252356
2012-11-23,120.15372853816606
2012-11-26,120.1274231292451
2012-11-27,120.18622995719575
2012-11-28,120.14597914335606
2012-11-29,120.1362683162472
2012-11-30,120.02712076032692
2012-12-03,119.92020117113454
2012-12-04,119.95234826251574
2012-12-05,120.01997729565413
2012-12-06,120.07958808388443
2012-12-07,120.13240279171553
2012-12-10,120.12588665799899
2012-12-11,120.11425659226035
2012-12-12,120.13341772361255
2012-12-13,120.11253923474275
2012-12-14,120.14403895835179
2012-12-17,120.0655191389547
2012-12-18,120.09524743648444
2012-12-19,120.12293727194883
2012-12-20,120.21366598073276
2012-12-21,120.14748885797947
2012-12-24,120.13164855327818
2012-12-25,120.14205304941461
2012-12-26,120.05064316308176
2012-12-27,120.1196465101283
2012-12-28,120.08878495088136
2012-12-31,120.10875155884537
2013-01-01,120.07527346435336
2013-01-02,119.98834433005064
2013-01-03,119.95561341199802
2013-01-04,119.86099127028672
2013-01-07,119.93401671965266
2013-01-08,119.91574554830106
2013-01-09,119.92614809415488
2013-01-10,119.99522796397198
2013-01-11,120.01542058006626
2013-01-14,119.9982607462825
2013-01-15,119.93313378299887
2013-01-16,119.92341810725213
2013-01-17,119.98941035454432
2013-01-18,119.92431789464743
2013-01-21,119.84911050429002
2013-01-22,119.91251621204279
2013-01-23,119.80636295078467
2013-01-24,119.81924340133116
2013-01-25,119.74390105732567
2013-01-28,119.72224547232437
2013-01-29,119.7025241295913
2013-01-30,119.66821894668894
2013-01-31,119.75028811359911
2013-02-01,119.72887532088777
2013-02-04,119.67895737799923
2013-02-05,119.70151916963603
2013-02-06,119.55123465358449
