,Spot_Ex_Costs_BRLUSD Curncy,Spot_Ex_Costs_ARSUSD Curncy,Spot_Ex_Costs_MXNUSD Curncy,Spot_Ex_Costs_COPUSD Curncy,Spot_Ex_Costs_CLPUSD Curncy,Spot_Ex_Costs_PENUSD Curncy,Spot_Ex_Costs_TRYUSD Curncy,Spot_Ex_Costs_RUBUSD Curncy,Spot_Ex_Costs_ZARUSD Curncy,Spot_Ex_Costs_CNYUSD Curncy,Spot_Ex_Costs_KRWUSD Curncy,Spot_Ex_Costs_IDRUSD Curncy,Spot_Ex_Costs_INRUSD Curncy,Spot_Ex_Costs_PHPUSD Curncy,Spot_Ex_Costs_THBUSD Curncy,Spot_Ex_Costs_CZKEUR Curncy,Spot_Ex_Costs_HUFEUR Curncy,Spot_Ex_Costs_PLNEUR Curncy
2012-03-14,169.50660585105086,33.925600073344604,106.78956968701868,182.58703698099882,99.73124737426339,110.4021209825613,75.19767180900075,122.64293085721826,98.52776272235862,99.30689175180191,120.34101263932811,263.1965268199702,118.75491489065088,123.92945062530349,123.0414590039215,125.51489989356385,114.035859982538,105.87943766684067
2012-03-15,169.50660585105086,33.96994726298296,107.18287645878952,182.92853795004962,99.73124737426339,110.4021209825613,75.19767180900075,122.64293085721826,98.52776272235862,99.30689175180191,121.0075334508266,263.1965268199702,118.75491489065088,123.92945062530349,123.0414590039215,125.51489989356385,114.035859982538,106.79522787952791
2012-03-16,169.50660585105086,33.925600073344604,107.04725343404095,182.98008526613276,99.73124737426339,110.4021209825613,75.19767180900075,122.64293085721826,98.52776272235862,99.30689175180191,121.0075334508266,263.1965268199702,118.75491489065088,123.92945062530349,123.0414590039215,125.51489989356385,114.035859982538,106.86127044294285
2012-03-19,169.50660585105086,33.88125288370624,107.58974553303521,183.21204818850688,99.73124737426339,110.4021209825613,75.19767180900075,123.00143109357377,98.52776272235862,99.30689175180191,121.0075334508266,263.1965268199702,118.75491489065088,123.92945062530349,123.0414590039215,125.51489989356385,114.39924192338617,107.1430520468466
2012-03-20,169.50660585105086,33.86647048716012,106.99300422414153,183.26359550459,99.73124737426339,110.4021209825613,75.19767180900075,122.57123080994715,98.52776272235862,99.30689175180191,121.0075334508266,263.1965268199702,118.75491489065088,123.92945062530349,123.0414590039215,125.51489989356385,113.87068637306155,106.7732136917229
2012-03-21,169.50660585105086,33.86647048716012,106.73532047711926,183.16372257967893,99.73124737426339,110.4021209825613,75.19767180900075,122.46368073904051,98.52776272235862,99.30689175180191,121.0075334508266,263.1965268199702,118.75491489065088,123.92945062530349,123.0414590039215,125.51489989356385,113.04481832567932,106.1744277834274
2012-03-22,169.50660585105086,33.86647048716012,105.62321167418104,182.96075502260155,99.73124737426339,110.4021209825613,75.19767180900075,121.78253028996504,98.52776272235862,99.30689175180191,121.0075334508266,263.1965268199702,118.75491489065088,123.92945062530349,123.0414590039215,125.51489989356385,112.4501933315641,105.57123903757089
2012-03-23,169.50660585105086,33.86647048716012,106.39626291524785,183.0348542894711,99.73124737426339,110.4021209825613,75.19767180900075,122.39198069176938,98.52776272235862,99.30689175180191,121.0075334508266,263.1965268199702,118.75491489065088,123.92945062530349,123.0414590039215,125.51489989356385,112.61536694104053,105.57123903757089
2012-03-26,169.50660585105086,33.86647048716012,106.9658796191918,183.01552404593994,99.73124737426339,110.4021209825613,75.19767180900075,123.75428158992032,98.52776272235862,99.30689175180191,121.0075334508266,263.1965268199702,118.75491489065088,123.92945062530349,123.0414590039215,125.51489989356385,113.30909610084163,105.57123903757089
2012-03-27,169.50660585105086,33.86647048716012,106.9658796191918,182.6740230768891,99.73124737426339,110.4021209825613,75.19767180900075,123.46748140083591,98.52776272235862,99.30689175180191,121.0075334508266,263.1965268199702,118.75491489065088,123.92945062530349,123.0414590039215,125.51489989356385,113.30909610084163,105.57123903757089
2012-03-28,169.50660585105086,33.88127873835696,106.9658796191918,181.60763797541912,99.73124737426339,110.4021209825613,75.254096259924,121.89008036087169,98.52776272235862,99.30689175180191,121.0075334508266,263.1965268199702,118.75491489065088,123.92945062530349,123.0414590039215,125.51489989356385,112.71464441625545,105.57123903757089
2012-03-29,169.50660585105086,33.836853984766464,106.9658796191918,181.60763797541912,99.73124737426339,110.4021209825613,75.2514093813086,121.49573010088065,98.52776272235862,99.30689175180191,121.0075334508266,263.1965268199702,118.75491489065088,123.92945062530349,123.0414590039215,125.51489989356385,111.52574104708312,105.57123903757089
2012-03-30,169.50660585105086,33.82204573356963,106.9658796191918,181.60763797541912,99.73124737426339,110.4021209825613,75.35619764730893,122.28443062086275,98.52776272235862,99.30689175180191,121.0075334508266,263.1965268199702,118.75491489065088,123.92945062530349,123.0414590039215,125.51489989356385,111.52574104708312,105.57123903757089
2012-04-02,169.50660585105086,33.82204573356963,106.9658796191918,181.60763797541912,99.73124737426339,110.4021209825613,75.58726920823273,122.42783071540495,98.52776272235862,99.30689175180191,121.0075334508266,263.38221444025163,118.75491489065088,123.92945062530349,123.0414590039215,125.51489989356385,111.52574104708312,105.57123903757089
2012-04-03,169.50660585105086,33.79242923117596,106.9658796191918,181.60763797541912,99.73124737426339,110.4021209825613,75.61010767646357,122.42783071540495,98.52776272235862,99.30689175180191,121.0075334508266,263.7849395387841,118.75491489065088,123.92945062530349,123.0414590039215,125.51489989356385,111.52574104708312,105.57123903757089
2012-04-04,169.50660585105086,33.79242923117596,106.9658796191918,181.60763797541912,99.73124737426339,110.4021209825613,74.77851874499947,122.42783071540495,98.52776272235862,99.30689175180191,120.2463087964516,263.84281619965105,118.75491489065088,123.92945062530349,123.0414590039215,125.51489989356385,111.52574104708312,105.57123903757089
2012-04-05,169.50660585105086,33.76281272878229,106.9658796191918,181.60763797541912,99.73124737426339,110.4021209825613,74.91554955438451,122.42783071540495,98.52776272235862,99.30689175180191,120.31427528344938,264.85806929235866,118.75491489065088,123.92945062530349,123.0414590039215,125.51489989356385,111.52574104708312,105.4265848734686
2012-04-06,169.50660585105086,33.76281272878229,106.9658796191918,181.60763797541912,99.73124737426339,110.4021209825613,74.81076128838419,122.42783071540495,98.52776272235862,99.30689175180191,120.32786858084893,263.5558444228524,118.75491489065088,123.92945062530349,123.0414590039215,125.51489989356385,111.52574104708312,105.36521644021308
2012-04-09,169.87751746122822,33.925703491947466,106.9658796191918,181.60763797541912,99.73124737426339,110.4021209825613,74.63208386046055,122.42783071540495,98.52776272235862,99.30689175180191,119.47149084467704,263.5558444228524,118.75491489065088,123.92945062530349,123.0414590039215,125.51489989356385,111.52574104708312,105.36521644021308
2012-04-10,168.70296402899993,33.79242923117595,106.9658796191918,181.60763797541912,98.85140796456315,110.4021209825613,73.95364701007385,122.42783071540495,98.52776272235862,99.30689175180191,119.19962489668598,262.880616712738,118.75491489065088,123.92945062530349,123.0414590039215,125.51489989356385,111.52574104708312,105.36521644021308
2012-04-11,168.8266012323924,33.762812728782286,106.9658796191918,181.60763797541912,99.3106647992968,110.4021209825613,73.95364701007385,122.42783071540495,98.52776272235862,99.30689175180191,119.19962489668598,262.40795731565794,118.75491489065088,123.92945062530349,123.0414590039215,125.51489989356385,111.52574104708312,105.36521644021308
2012-04-12,168.8266012323924,33.71838797519179,106.9658796191918,181.60763797541912,100.21950990382233,110.4021209825613,73.95364701007385,122.42783071540495,98.52776272235862,99.30689175180191,119.19962489668598,263.19652681997013,118.75491489065088,123.92945062530349,123.0414590039215,125.51489989356385,111.52574104708312,105.36521644021308
2012-04-13,168.8266012323924,33.703579723994956,106.9658796191918,181.60763797541912,99.71674452685077,110.4021209825613,73.95364701007385,122.42783071540495,98.52776272235862,99.30689175180191,119.19962489668598,262.8950858779548,118.75491489065088,123.92945062530349,123.0414590039215,125.51489989356385,111.52574104708312,105.36521644021308
2012-04-16,168.8266012323924,33.703579723994956,106.9658796191918,181.60763797541912,98.83690511715052,110.4021209825613,73.95364701007385,122.42783071540495,98.52776272235862,99.30689175180191,119.19962489668598,263.411152770685,118.75491489065088,123.92945062530349,122.93927138801546,125.51489989356385,111.52574104708312,105.36521644021308
2012-04-17,168.8266012323924,33.673963221601284,106.9658796191918,181.60763797541912,99.76025306908869,110.4021209825613,73.95364701007385,122.42783071540495,98.52776272235862,99.30689175180191,119.19962489668598,263.411152770685,118.75491489065088,123.92945062530349,122.85979213119964,125.51489989356385,111.52574104708312,105.36521644021308
2012-04-18,168.8266012323924,33.64434671920762,106.9658796191918,180.95577075750717,98.98193359127694,110.4021209825613,73.9549690273604,122.42783071540495,98.52776272235862,99.30689175180191,119.19962489668598,262.7359250605707,118.75491489065088,123.92945062530349,122.56079873651157,125.51489989356385,111.52574104708312,105.36521644021308
2012-04-19,168.8266012323924,33.614730216813946,106.9658796191918,180.84980219498948,99.04961354586926,110.4021209825613,73.77253064181537,122.39168432310636,98.52776272235862,99.30689175180191,119.19962489668598,262.7359250605707,118.75491489065088,123.92945062530349,122.58350709560179,125.51489989356385,111.52574104708312,105.36521644021308
2012-04-20,168.8266012323924,33.59992196561711,106.9658796191918,181.4631353901677,99.39284760130178,110.4021209825613,73.74080222693796,122.7531482460925,98.52776272235862,99.30689175180191,119.19962489668598,262.7359250605707,118.75491489065088,123.92945062530349,122.46239584712052,125.51489989356385,111.52574104708312,105.36521644021308
2012-04-23,168.8266012323924,33.59992196561711,106.9658796191918,181.06495048858602,98.84173939962142,110.4021209825613,73.61124453285524,122.35553793080774,97.86887375186309,99.30689175180191,119.19962489668598,262.7359250605707,118.75491489065088,123.92945062530349,122.05743011001135,125.51489989356385,111.52574104708312,105.36521644021308
2012-04-24,168.8266012323924,33.58511371442028,106.9658796191918,181.58194862692997,99.05444782834014,110.4021209825613,74.21540643281239,123.15075856137727,98.5269929922529,99.30689175180191,119.19962489668598,262.7359250605707,118.75491489065088,123.92945062530349,122.05743011001135,125.51489989356385,111.52574104708312,105.36521644021308
2012-04-25,168.8266012323924,33.555497212026616,106.9658796191918,182.19849299066937,99.42668757859794,110.4021209825613,74.73892527828949,123.15075856137727,99.18203331221983,99.30689175180191,119.19962489668598,262.7359250605707,118.75491489065088,123.92945062530349,122.05743011001135,125.51489989356385,111.52574104708312,105.36521644021308
2012-04-26,168.8266012323924,33.555497212026616,106.9658796191918,182.1342696194465,99.6829045495546,110.4021209825613,74.96895628615066,123.2953441305717,98.88568722151798,99.30689175180191,119.19962489668598,262.7359250605707,118.75491489065088,123.92945062530349,122.05743011001135,125.51489989356385,111.5900395429304,105.36521644021308
2012-04-27,168.8266012323924,33.54068896082978,106.9658796191918,182.4264859585105,99.6829045495546,110.4021209825613,75.13024239511077,123.3314905228703,99.39063017086968,99.30689175180191,119.19962489668598,262.7359250605707,118.75491489065088,123.92945062530349,122.05743011001135,125.51489989356385,112.16872600555578,105.36521644021308
2012-04-30,168.8266012323924,33.54068896082978,106.7439299273351,182.08931325959054,99.55734108275122,110.4021209825613,75.20559738044459,123.0423193844814,98.87645046024934,99.30689175180191,119.28052046838374,262.7359250605707,118.75491489065088,123.92945062530349,122.05743011001135,125.51489989356385,112.13657675763216,105.18516501379501
2012-05-01,168.8266012323924,33.54068896082978,107.60398498327983,182.24987168764767,99.72636882652499,110.4021209825613,75.33779910910043,123.36763691516893,99.64079245522841,99.30689175180191,119.26703787310078,262.7359250605707,118.75491489065088,123.92945062530349,122.09495045371737,125.51489989356385,113.10105419534116,105.72971079125453
2012-05-02,168.8266012323924,33.481455956042446,107.10459817660224,182.48428699261106,99.76983310349539,110.4021209825613,75.09983599751993,122.89773381528695,99.3944788213983,99.30689175180191,119.38838123064745,262.4775976022291,118.75491489065088,123.92945062530349,121.62219412302169,125.51489989356385,113.45469592250112,105.47061239714073
2012-05-03,168.8266012323924,33.45183945364877,106.78554549455824,183.02376331088303,100.21413460141501,110.4021209825613,75.05753144435006,122.35553793080774,99.68466707125438,99.30689175180191,119.21310749196891,262.4775976022291,118.75491489065088,123.92945062530349,121.20947034225561,125.51489989356385,113.06890494741752,105.088552053278
2012-05-04,168.8266012323924,33.45183945364877,105.34287249748962,182.52603218390593,99.92920211905351,110.4021209825613,75.14610660254947,121.09041420035628,98.29299504011429,99.30689175180191,118.84907741932889,262.4775976022291,118.75491489065088,123.92945062530349,121.34829561396785,125.51489989356385,112.2651737493267,104.76797268428973
2012-05-07,168.8266012323924,33.42222295125511,105.41223177619484,182.7508139831859,100.21896396552283,110.4021209825613,75.08529380736778,120.54821831587707,98.5192956911957,99.30689175180191,118.44459956083996,262.4775976022291,118.75491489065088,123.92945062530349,121.03312472683739,125.51489989356385,112.23302450140308,104.91289212506526
2012-05-08,168.8266012323924,33.3777981976646,103.88632764467998,182.06041274254025,99.28689669271317,110.4021209825613,74.28679536628653,120.54821831587707,97.22999776411626,99.30689175180191,118.41763437027404,262.4775976022291,118.75491489065088,123.92945062530349,121.03312472683739,125.51489989356385,111.75078578254858,104.29369087811531
2012-05-09,168.8266012323924,33.36298994646777,103.88632764467998,181.07137282570832,98.91020629230304,110.4021209825613,73.74212424422448,120.54821831587707,97.22999776411626,99.30689175180191,117.87833055895547,262.4775976022291,118.75491489065088,123.92945062530349,121.03312472683739,125.51489989356385,110.78630834483958,104.29369087811531
2012-05-10,168.8266012323924,33.36298994646777,103.88632764467998,182.23381584484196,99.32070224146791,110.4021209825613,74.11757715360706,120.54821831587707,97.22999776411626,99.30689175180191,117.87833055895547,262.4775976022291,118.75491489065088,123.92945062530349,121.03312472683739,125.51489989356385,111.17209931992318,104.29369087811531
2012-05-11,168.8266012323924,33.36298994646777,103.88632764467998,182.10215793383512,99.32070224146791,110.4021209825613,74.11757715360706,120.54821831587707,97.22999776411626,99.30689175180191,117.87833055895547,262.4775976022291,118.75491489065088,123.92945062530349,121.03312472683739,125.51489989356385,111.04350232822864,104.29369087811531
2012-05-14,168.8266012323924,33.34818169527094,103.88632764467998,181.35074449052775,99.32070224146791,110.4021209825613,74.11757715360706,120.54821831587707,97.22999776411626,99.30689175180191,117.87833055895547,262.4775976022291,118.75491489065088,123.92945062530349,121.03312472683739,125.51489989356385,111.04350232822864,104.29369087811531
2012-05-15,168.8266012323924,33.31856519287727,103.88632764467998,181.35074449052775,99.32070224146791,110.4021209825613,74.11757715360706,120.54821831587707,97.22999776411626,99.30689175180191,117.87833055895547,262.4775976022291,118.75491489065088,123.92945062530349,121.03312472683739,125.51489989356385,111.04350232822864,104.29369087811531
2012-05-16,168.8266012323924,33.30375694168044,103.88632764467998,181.35074449052775,99.32070224146791,110.4021209825613,74.11757715360706,120.54821831587707,97.22999776411626,99.30689175180191,117.87833055895547,262.4775976022291,118.75491489065088,123.92945062530349,121.03312472683739,125.51489989356385,111.04350232822864,104.29369087811531
2012-05-17,168.8266012323924,33.259332188089935,103.88632764467998,181.35074449052775,99.32070224146791,110.4021209825613,74.11757715360706,120.54821831587707,97.22999776411626,99.30689175180191,117.87833055895547,262.4775976022291,118.75491489065088,123.92945062530349,121.03312472683739,125.51489989356385,111.04350232822864,104.29369087811531
2012-05-18,168.8266012323924,33.22971568569626,103.88632764467998,181.35074449052775,99.32070224146791,110.4021209825613,74.11757715360706,120.54821831587707,97.22999776411626,99.30689175180191,117.87833055895547,262.4775976022291,118.75491489065088,123.92945062530349,121.03312472683739,125.51489989356385,111.04350232822864,104.29369087811531
