Date,BRLUSDCR Curncy,ARSUSDCR Curncy,MXNUSDCR Curncy,COPUSDCR Curncy,CLPUSDCR Curncy,PENUSDCR Curncy,TRYUSDCR Curncy,RUBUSDCR Curncy,ZARUSDCR Curncy,CNYUSDCR Curncy,KRWUSDCR Curncy,IDRUSDCR Curncy,INRUSDCR Curncy,PHPUSDCR Curncy,THBUSDCR Curncy,CZKEURCR Curncy,HUFEURCR Curncy,PLNEURCR Curncy
2015-02-16,294.2783100173959,754.6476012503916,136.79106282675335,153.98551896293995,117.14207801561645,161.61618636468322,443.1162534256572,117.84515265938028,126.69287752660627,114.32481462924919,123.38783052669969,167.66391383173544,160.59438834311533,171.26686948907167,129.16081208958218,130.06251899406465,175.66612914931238,188.08826207446165
2015-02-17,294.4069572867218,755.4454329366627,137.1464503145211,152.3618527632577,117.38708676890283,161.7538821892166,444.3173820682051,119.19762873095748,127.20710175548476,114.24584231239885,123.41734435684289,167.4969719834005,160.64239355510978,171.27725222004338,129.34812441880948,130.38448356048536,175.42566241196013,187.48469675688443
2015-02-18,294.0068391061201,755.6554238415151,136.5551127264449,151.51293560726575,117.11480856219205,161.65627006022353,442.96779476867687,121.23240632236289,126.26352989250553,114.27024177821816,123.44103061542917,166.53365795096826,160.23025357038762,171.32799047139557,129.25759183322342,131.6852553627587,176.00908410228996,187.62001438820386
2015-02-19,291.31717050201587,755.6709964154419,136.1339595825778,150.57764545973276,117.89927371661835,161.71830668437272,443.5331700909725,120.56874203768805,126.65688374006947,114.29529313816245,123.44638822153794,166.57413333048223,160.27806828550908,171.3369039479845,129.40516814072285,131.2920236094403,176.7313693593867,188.5423559511811
2015-02-20,291.23171479788067,755.7189561216456,135.81556527636593,149.8795680933162,118.24576230612148,161.80219823298526,443.8094929216599,120.49457605396117,127.03610740087625,114.3203444981067,123.451933813826,167.0961129889311,160.6388693629594,171.30732295974437,129.31463555513682,130.60576137920455,176.93988597079704,188.7218478925248
2015-02-23,290.36748602567377,756.0235289172189,135.35852558457924,147.34262225481493,116.96628371472404,161.3918548754612,439.58900222160963,120.5734651726242,127.09673354000321,114.34511647485459,122.69444350451353,166.83210659840327,160.44246708690278,171.2489445856017,129.22819946663608,131.09239781071864,176.5490500811586,188.00622407013077
2015-02-24,295.64003672607936,757.7086151682603,136.98559321096073,148.18361145506154,117.40977661946206,161.45261744571795,440.43021389073573,118.9609613749684,128.80715445726238,114.36849153562044,122.57328641198299,166.03275603732288,160.7812657755223,171.03178878782597,129.2924120584488,130.9171426712767,176.64746708960018,189.09056815374822
2015-02-25,291.5975182073646,756.3682273634008,136.8604645648005,148.317239235453,117.75043662350045,161.48789893812508,438.6128723628521,122.00278792613526,129.32347911930745,114.29743507600153,123.78730115761888,166.3960416606208,161.44000396233494,171.79100150255746,129.5159783868814,131.13550766219353,177.1284005643047,189.15493643406938
2015-02-26,287.98373559342696,757.2191777680966,136.7063263083176,147.9346110555343,117.94101055182134,161.5220043807853,436.56996448667843,122.48607951716795,128.70127353081858,114.33785251174807,123.99013824503622,166.8776986768369,162.04159308724948,171.9862164348836,130.33404885482426,130.54313558145384,178.3142724133231,189.64950840303558
2015-02-27,294.9603657769116,757.521362132086,136.61289481131107,147.42054571457484,117.99804742386932,161.55806990635702,434.8602169718002,121.64919106740297,127.00966103782403,114.17096761576242,123.88364407448766,165.7770738286196,161.85795410168342,171.91245986486777,130.31878940318134,130.67935882834416,178.34108927803337,189.6512212844447
2015-03-02,289.37434500521346,757.6859728368453,136.06297693933593,145.36491024198,118.09536398475409,161.54229123891938,432.82282257933736,119.72891758512493,125.82702169079141,114.13455467249771,123.60279272267904,165.30587931616463,161.83814242689206,171.9142229701271,130.3275968719148,130.76684075667498,177.14503941105562,189.27546919427863
2015-03-03,285.90762569606653,757.7860958888406,136.55590317904225,144.33625798402517,118.08120884862538,161.68322120025675,431.454829973892,121.20738647243093,126.10475623995731,114.12356560010579,124.12182256360514,165.34421637374203,161.76642035420988,172.0556631920433,130.2961562567848,130.8949080857187,176.1552050383844,188.80226316709968
2015-03-04,281.53110123917395,758.1544875763343,135.60917810319833,145.0592666849566,117.6620711045794,161.61510831908188,425.5365106134561,121.24070372157503,125.46336033026446,114.22647174411478,123.96476011083666,165.17880189821892,160.91804253033186,171.88581738539327,130.3049637255183,130.8444190704778,175.8999580488651,189.37139055318858
2015-03-05,279.32130947286413,758.1584046041318,134.00353174220496,144.77532069102566,117.43277871567119,161.60011368480886,416.6758558061848,123.50882970928465,124.95496002971156,114.32416273512422,123.60279272267904,165.1558913060412,161.19026256184003,171.80275553761973,129.97222574976138,131.59146230752276,176.53692496411142,189.91121865201643
2015-03-06,273.88500179523226,758.2442926038873,131.8353993129386,142.6832792111267,116.18962470154521,161.59148931999823,416.47664066680716,124.43698955038309,123.08901158388892,114.40723267218851,123.8476447211601,165.3874410243173,161.23931550663596,171.9401797975563,129.9368934624003,131.53893431282023,176.67508049484638,190.51207942000033
2015-03-09,268.90300048888616,758.7015339463004,132.03815040415842,141.41991773702762,116.148512357642,161.58884320806771,419.91259506705364,124.51179379558783,122.71904892386216,114.39689549392156,122.36866345586273,164.4278690552741,160.33264563962183,171.48324168450992,129.43077124750627,131.83992651906397,176.81350153909332,191.12691369421643
2015-03-10,270.8448985594421,758.8428335588013,131.14422756181736,140.34870487454532,114.81199689419661,161.5418992223371,415.39259247247304,120.42883512174201,120.45936473353618,114.46785882580829,121.22937321648112,163.97843960538796,159.77810924233677,171.25952321715775,128.9246490326122,131.79458349960726,175.60833570820418,189.24202293097449
2015-03-11,268.84947474552087,758.9149641926336,132.2213773162237,140.55462309350918,114.33457329550305,161.70037192573247,418.6305479429841,122.23179614439006,120.94399194961252,114.48648437223528,120.83159446117521,162.773953405965,159.8184945794115,171.01827164750432,128.05199274100715,131.76195982822082,178.10920747756853,190.92226944165475
