,Carry_BRLUSD Curncy,Carry_ARSUSD Curncy,Carry_MXNUSD Curncy,Carry_COPUSD Curncy,Carry_CLPUSD Curncy,Carry_PENUSD Curncy,Carry_TRYUSD Curncy,Carry_RUBUSD Curncy,Carry_ZARUSD Curncy,Carry_CNYUSD Curncy,Carry_KRWUSD Curncy,Carry_IDRUSD Curncy,Carry_INRUSD Curncy,Carry_PHPUSD Curncy,Carry_THBUSD Curncy,Carry_CZKEUR Curncy,Carry_HUFEUR Curncy,Carry_PLNEUR Curncy
2014-07-16,10.298100000000002,33.046775000000004,2.4789000000000003,3.64257775,3.589275,4.0379000000000005,7.428024999999999,8.439275,6.11385,3.1189750000000003,1.6492749999999996,5.661775,5.326775,0.33177499999999993,1.17935,-0.3002,1.349475,2.3235999999999994
2014-07-17,10.289925,33.686775000000004,2.5050999999999997,3.7035212499999997,3.5517749999999992,4.00385,7.359275,8.456775,6.1225,2.9704500000000005,1.6642750000000002,5.926775,5.244275,0.41927499999999995,1.1557749999999998,-0.31137500000000007,1.3091,2.3310500000000003
2014-07-18,10.2451,33.701775000000005,2.5294250000000003,3.8057827499999997,3.551775,4.00185,7.361775,8.549274999999998,6.1457250000000005,2.812575,1.6867750000000001,5.829275,4.9517750000000005,0.5642750000000001,1.141125,-0.32462500000000005,1.285225,2.2937
2014-07-21,10.2103,32.759525,2.548925,3.79873025,3.5445249999999997,4.015475,7.3972750000000005,8.727025,6.1516,2.6925499999999998,1.6870249999999996,5.597025,4.829525,0.579525,1.14045,-0.33835,1.257225,2.2971500000000002
2014-07-22,10.2568,31.849524999999996,2.5627,3.78310625,3.5445249999999997,3.9306999999999994,7.430775000000001,8.892025,6.168275,2.5015999999999994,1.619525,5.6095250000000005,4.809525000000001,0.539525,1.166425,-0.3458,1.2366249999999999,2.3001
2014-07-23,10.311825,31.884774999999994,2.586625,3.7500605000000005,3.532275,4.0070749999999995,7.491274999999999,9.017275,6.186025,2.4408750000000006,1.6372750000000003,5.249775,5.127275,0.48227499999999995,1.1211499999999999,-0.33935,1.2234,2.296725
2014-07-24,10.306925,31.70215,2.614775,3.6939557499999998,3.4921499999999996,3.987125,7.448899999999998,9.089649999999999,6.1865,2.29545,1.6521500000000002,4.9571499999999995,5.12965,0.38715,1.0188,-0.32689999999999997,1.2293249999999998,2.3307
2014-07-25,10.2798,31.886274999999998,2.61495,3.6886524999999994,3.4762749999999993,3.9709749999999997,7.371275000000001,9.163775000000001,6.190375000000001,2.1262499999999998,1.6762750000000004,4.836275,5.0862750000000005,0.27627500000000005,0.9445249999999998,-0.31235,1.2547000000000001,2.32585
2014-07-28,10.198250000000002,32.303525,2.6156249999999996,3.7088219999999996,3.4810250000000003,4.06415,7.330025,9.228525000000001,6.182925,1.99695,1.6785249999999998,4.603525,4.881025,0.21852500000000002,0.911375,-0.3004,1.28785,2.3199
2014-07-29,10.152275,33.54015,2.5965499999999997,3.771160500000001,3.4751500000000006,4.071124999999999,7.299899999999999,9.39015,6.173775,1.7935249999999996,1.6601499999999998,4.697649999999999,4.4201500000000005,0.20515,0.9269000000000002,-0.29555,1.3245500000000001,2.315525
