Country,Subject Descriptor,Subject Notes,Units,2015,2016,2017,2018,2019,2020,2021,2022
Georgia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.879,1.832,6.165,3.382,3,3,3,3
Germany,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.201,1.702,1.106,1.758,2.065,2.225,2.388,2.483
Ghana,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,17.692,15.362,9.954,8,6,6,6,6
Greece,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.392,0.29,0.994,1.123,1.406,1.527,1.626,1.63
Grenada,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.114,0.919,3.042,1.789,1.872,1.891,1.891,1.891
Guatemala,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.066,4.232,4.3,4,4,4,4,4
Guinea,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,7.324,8.701,8.2,8,8,7.9,7.8,8
Guinea-Bissau,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.441,1.558,2.5,2.5,2.5,2.5,2.5,2.5
Guyana,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-1.814,1.454,2.611,2.734,3.042,3.103,3.103,3.103
Haiti,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,11.277,12.495,15.278,5,5,5,5,5
Honduras,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.357,3.315,4.509,4,4,4,4,4
Hong Kong SAR,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.037,2.591,2,2.2,2.4,2.6,2.8,3
Hungary,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.862,1.834,2.743,2.99,3.041,3.041,3.041,3.041
Iceland,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.012,1.893,1.95,2.9,2.7,2.645,2.5,2.5
India,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,5.259,3.569,4.477,4.762,5.085,4.885,4.959,4.961
Indonesia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.353,3.025,3.993,3.693,3.803,3.704,3.506,3.505
Islamic Republic of Iran,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,8.303,11.925,10.076,9.658,9.4,9.2,8.8,8.6
