Country,Subject Descriptor,Subject Notes,Units,2015,2016,2017,2018,2019,2020,2021,2022
Guyana,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-1.814,1.454,2.611,2.734,3.042,3.103,3.103,3.103
Haiti,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,11.277,12.495,11.000,5.000,5.000,5.000,5.000,5.000
Honduras,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.357,3.315,4.700,4.500,4.500,4.500,4.500,4.500
Hong Kong SAR,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.037,2.591,2.600,2.700,2.800,2.900,3.000,3.000
Hungary,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.872,1.800,2.800,3.000,2.990,3.041,3.042,3.042
Iceland,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.012,1.919,2.400,2.700,2.700,2.645,2.500,2.500
India,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,5.259,4.942,4.868,5.073,5.013,4.856,4.944,5.950
Indonesia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.353,3.025,4.500,4.385,4.165,3.961,3.964,4.002
Islamic Republic of Iran,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,8.303,10.465,11.861,10.700,9.800,9.200,8.800,8.600
Iraq,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.310,-1.000,2.000,2.000,2.000,2.000,2.000,2.000
Ireland,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.301,-0.200,1.383,1.600,1.716,1.814,1.885,1.912
Israel,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.997,-0.202,1.147,1.815,1.998,1.998,1.998,1.998
Italy,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.100,0.497,1.355,1.326,1.350,1.400,1.400,1.400
Jamaica,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.661,4.000,5.000,5.500,5.500,5.500,5.500,5.300
Japan,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.196,0.337,0.812,0.611,2.011,0.802,1.610,1.610
Jordan,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-1.575,0.843,2.500,2.500,2.500,2.500,2.500,2.500
Kazakhstan,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,13.600,8.500,7.660,6.820,5.980,5.140,4.370,4.370
Kenya,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,8.007,6.350,5.978,4.966,4.990,1.469,5.000,5.000
Kiribati,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.572,1.917,2.200,2.500,2.500,2.500,2.500,2.100
Korea,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.132,1.337,2.185,1.912,1.900,1.900,2.000,2.000
Kosovo,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.134,1.295,1.005,1.833,2.033,2.222,2.222,1.813
Kuwait,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.028,3.513,4.200,3.600,3.400,3.400,3.400,3.400
Kyrgyz Republic,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.352,-0.486,4.686,5.523,5.164,5.108,4.999,4.999
Lao P.D.R.,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.939,3.182,2.300,2.600,2.900,3.100,3.100,3.100
Latvia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.404,2.105,1.477,1.671,2.149,2.291,2.325,2.314
Lebanon,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-3.402,3.142,2.000,2.000,2.000,2.000,2.000,2.000
Lesotho,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,5.182,6.700,6.500,6.000,5.000,5.000,5.000,5.000
Liberia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,8.039,12.518,9.955,9.100,8.300,7.500,7.300,7.000
Libya,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,15.718,29.897,35.093,29.897,24.702,24.702,24.702,22.537
Lithuania,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.249,1.960,2.424,2.019,2.153,2.458,2.508,2.536
Luxembourg,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.818,2.324,-1.154,2.730,1.612,2.069,2.018,2.018
Macao SAR,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.731,1.444,2.000,2.200,2.400,2.600,2.800,3.000
FYR Macedonia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.318,-0.200,1.500,1.900,2.000,2.000,2.000,2.000
Madagascar,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,7.563,7.051,7.062,6.259,5.929,5.393,5.362,5.000
Malawi,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,24.855,19.504,11.784,9.496,9.347,9.463,9.162,7.176
Malaysia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.683,1.829,2.701,2.878,3.000,3.000,3.000,3.000
Maldives,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.156,2.216,1.610,2.218,2.218,2.422,2.422,2.727
Mali,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.971,-0.787,1.000,1.398,1.697,1.995,2.173,2.173
Malta,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.253,0.963,1.477,1.685,1.800,1.800,1.800,1.800
