Country,Subject Descriptor,Subject Notes,Units,2016,2017,2018,2019,2020,2021,2022,2023
Guinea,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,8.701,9.546,8.000,8.000,7.900,7.800,7.800,7.800
Guinea-Bissau,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.558,-1.264,2.000,2.300,2.450,2.600,2.800,3.000
Guyana,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.454,1.485,2.181,3.042,3.165,3.536,3.536,3.103
Haiti,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,12.495,15.376,12.999,10.034,8.000,7.000,6.000,5.000
Honduras,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.315,4.728,4.692,4.500,4.000,4.000,4.000,4.000
Hong Kong SAR,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.411,1.481,2.300,2.100,2.200,2.400,2.500,2.500
Hungary,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.860,2.140,3.101,3.143,3.041,3.041,3.041,3.042
Iceland,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.893,1.874,2.600,2.600,2.600,2.500,2.500,2.500
India,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.569,4.594,5.139,3.928,4.553,4.253,4.089,3.986
Indonesia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.025,3.607,3.633,3.994,3.697,3.020,2.998,2.988
Islamic Republic of Iran,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,11.827,8.310,47.818,27.682,20.000,15.000,12.000,12.000
Iraq,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-1.548,0.200,2.000,2.000,2.000,2.000,2.000,2.000
Ireland,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.300,-0.100,1.755,1.337,1.519,1.806,1.930,2.014
Israel,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.202,0.400,1.182,1.510,1.998,1.998,1.998,1.998
Italy,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.497,0.989,1.883,1.416,1.475,1.575,1.666,1.710
