Country,Subject Descriptor,Subject Notes,Units,2016,2017,2018,2019,2020,2021,2022,2023
Libya,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,25.000,30.000,20.000,10.000,10.000,10.000,8.090,9.717
Lithuania,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.960,3.806,2.217,2.193,2.318,2.360,2.465,2.464
Luxembourg,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.543,0.887,1.375,3.103,1.071,2.734,1.460,2.396
Macao SAR,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.444,2.039,2.200,2.400,2.600,2.800,3.000,3.000
FYR Macedonia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.210,2.382,1.800,2.000,2.000,2.000,2.000,2.000
Madagascar,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,6.952,8.080,7.860,6.172,5.704,5.400,5.000,5.000
Malawi,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,19.969,7.061,8.959,7.502,6.473,5.540,5.032,5.004
Malaysia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.742,3.510,3.032,2.503,2.302,2.465,2.526,2.520
Maldives,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.318,0.505,2.314,2.421,2.422,2.523,2.625,2.015
Mali,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.787,1.084,1.600,1.700,2.000,2.184,2.184,2.184
Malta,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.963,1.336,1.696,1.839,1.901,1.938,1.963,1.981
Marshall Islands,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-1.508,0.700,1.100,1.500,2.112,2.112,2.112,2.112
Mauritania,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.770,1.236,4.749,4.963,4.409,4.409,4.409,4.409
Mauritius,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.339,4.205,5.882,4.746,4.150,3.852,3.703,3.629
Mexico,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.360,6.773,3.562,2.956,3.000,3.000,3.000,3.000
Micronesia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.475,0.458,2.000,2.000,2.000,2.000,2.000,2.000
Moldova,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.368,7.320,3.965,6.039,5.000,5.000,5.000,5.000
Mongolia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.897,7.225,7.800,6.857,6.500,6.500,6.500,6.000
Montenegro,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.000,1.881,2.741,1.829,1.819,1.928,2.028,2.028
Morocco,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.819,1.863,2.000,2.000,2.000,2.000,2.000,2.000
Mozambique,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,21.100,7.162,6.500,5.500,5.500,5.500,5.500,5.500
Myanmar,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,6.998,5.500,5.800,6.100,6.300,6.200,6.000,5.783
Namibia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,7.298,5.167,5.750,5.750,5.750,5.750,5.750,5.750
Nauru,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,8.215,1.580,2.000,2.000,2.000,2.000,2.000,2.000
Nepal,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,10.439,2.711,5.700,5.700,5.500,5.500,5.500,5.500
Netherlands,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.703,1.650,2.086,2.217,2.333,2.367,2.367,2.367
New Zealand,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.331,1.616,2.167,2.015,2.015,2.015,2.015,0.500
Nicaragua,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.130,5.678,6.297,7.425,7.089,7.056,7.180,7.180
Niger,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-2.204,4.789,1.909,2.091,1.909,2.091,1.909,2.091
Nigeria,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,18.546,15.368,14.500,16.550,14.000,14.000,14.000,14.000
Norway,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.469,1.628,1.800,2.000,2.000,2.000,2.000,2.000
