Country,Subject Descriptor,Subject Notes,Units,2011,2012,2013,2014,2015,2016,2017,2018
Guyana,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.254,3.450,4.782,5.473,5.284,4.033,4.033,4.033
Haiti,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,10.381,6.531,6.000,5.000,4.000,3.500,3.000,3.000
Honduras,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,5.605,5.438,5.500,5.000,5.500,5.500,5.500,5.500
Hong Kong SAR,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,5.734,3.768,3.500,3.500,3.500,3.500,3.500,3.500
Hungary,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.100,5.000,3.000,3.000,3.000,3.000,3.000,3.000
Iceland,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,5.251,4.203,3.600,2.942,2.401,2.530,2.494,2.504
India,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,8.649,11.443,9.012,8.837,7.602,6.434,6.828,6.611
Indonesia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.787,4.284,9.535,5.987,5.519,4.953,4.505,4.506
Islamic Republic of Iran,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,21.772,41.200,35.000,25.000,20.008,20.008,20.008,20.008
Iraq,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,6.020,3.614,4.000,5.500,5.500,5.500,5.500,5.500
Ireland,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.597,1.549,1.775,1.414,1.322,1.498,1.631,1.675
Israel,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.170,1.635,2.051,2.047,2.047,2.047,2.047,2.047
Italy,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.654,2.580,1.282,1.123,1.150,1.300,1.410,1.510
Jamaica,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,6.008,8.002,10.500,9.400,8.800,8.510,8.000,7.400
Japan,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.275,-0.225,0.678,3.538,2.031,1.296,2.106,2.015
Jordan,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.259,7.177,3.162,2.642,2.322,2.045,2.033,2.033
Kazakhstan,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,7.400,6.000,5.984,6.168,6.273,5.957,5.957,5.957
Kenya,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,18.560,7.026,7.000,5.000,5.000,5.000,5.000,5.000
Kiribati,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.828,-3.873,2.500,2.500,2.500,2.500,2.500,2.500
Korea,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.158,1.426,1.800,2.700,3.000,3.000,3.000,3.000
Kosovo,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.550,3.673,1.550,1.663,1.453,1.539,1.526,1.537
Kuwait,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.905,3.199,3.002,3.502,4.009,4.047,4.042,4.053
Kyrgyz Republic,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,5.708,7.495,7.049,7.000,6.024,6.001,5.524,5.472
Lao P.D.R.,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,7.701,4.733,7.551,10.063,9.373,6.592,5.500,5.000
Latvia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.879,1.598,1.841,1.071,2.300,2.300,2.300,2.300
Lebanon,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.067,10.119,3.464,2.427,2.500,2.500,2.500,2.500
Lesotho,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,7.184,5.025,5.229,5.088,4.178,5.081,4.330,5.042
Liberia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,11.449,7.709,7.994,6.002,5.500,5.000,5.000,5.000
Libya,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,26.646,-3.674,10.000,9.000,8.000,7.000,6.000,5.000
Lithuania,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.471,2.925,1.675,2.250,2.400,2.380,2.355,2.355
