,PSNI3M Curncy
2014-11-19,4.4798
2014-11-26,5.2017
2014-12-03,4.9277999999999995
2014-12-10,5.2753
2014-12-17,5.8177
2014-12-24,7.4127
2014-12-31,8.3701
2015-01-07,5.3827
2015-01-14,6.5212
2015-01-21,4.5786
2015-01-28,3.8055
2015-02-04,5.585
2015-02-11,5.4318
2015-02-18,5.7173
2015-02-25,5.8391
2015-03-04,6.1708
2015-03-11,9.6164
2015-03-18,6.0357
2015-03-25,5.6659
2015-04-01,6.1644
2015-04-08,6.4484
2015-04-15,6.9577
2015-04-22,6.0409
2015-04-29,5.4014
2015-05-06,6.4918
2015-05-13,6.06
2015-05-20,6.1111
2015-05-27,5.5094
2015-06-03,7.1671
2015-06-10,5.5897
2015-06-17,5.4757
2015-06-24,4.8122
2015-07-01,5.5379000000000005
2015-07-08,5.5327
2015-07-15,5.2043
2015-07-22,5.3134
2015-07-29,4.9516
2015-08-05,5.7749
2015-08-12,7.994
2015-08-19,8.3352
2015-08-26,8.2009
2015-09-02,14.2092
2015-09-09,14.5777
2015-09-16,12.4678
2015-09-23,12.6752
2015-09-30,9.4935
2015-10-07,6.6223
2015-10-14,7.6045
2015-10-21,6.3403
2015-10-28,6.5347
2015-11-04,6.0311
2015-11-11,6.3265
2015-11-18,6.9153
2015-11-25,6.5143
2015-12-02,6.6304
2015-12-09,6.3074
2015-12-16,6.4173
2015-12-23,6.2422
2015-12-30,6.2746
2016-01-06,6.2501999999999995
2016-01-13,6.3805
2016-01-20,6.1199
2016-01-27,6.272
2016-02-03,5.9181
2016-02-10,5.8182
2016-02-17,4.7745999999999995
2016-02-24,5.9299
2016-03-02,6.2103
2016-03-09,5.4252
2016-03-16,4.5413
2016-03-23,5.2556
2016-03-30,5.1883
2016-04-06,5.4848
2016-04-13,5.338
2016-04-20,5.8875
2016-04-27,5.9035
2016-05-04,5.2113
2016-05-11,5.4823
2016-05-18,5.3065
2016-05-25,5.3546
2016-06-01,5.2287
2016-06-08,5.3558
2016-06-15,4.8346
2016-06-22,4.4574
2016-06-29,7.4123
2016-07-06,4.8939
2016-07-13,4.7103
2016-07-20,2.5791
2016-07-27,4.3806
2016-08-03,4.3535
2016-08-10,4.0111
2016-08-17,4.199
2016-08-24,4.5527999999999995
2016-08-31,4.6674
2016-09-07,4.8275
2016-09-14,4.774
2016-09-21,4.7161
2016-09-28,4.5904
2016-10-05,4.3726
2016-10-12,4.5397
2016-10-19,4.5316
2016-10-26,4.8335
2016-11-02,4.7975
2016-11-09,4.9091000000000005
2016-11-16,5.302
2016-11-23,6.4002
2016-11-30,6.3037
2016-12-07,6.5378
2016-12-14,5.7336
2016-12-21,5.6247
2016-12-28,5.7732
2017-01-04,5.7297
2017-01-11,5.5892
2017-01-18,5.5346
2017-01-25,5.7472
2017-02-01,6.6129999999999995
2017-02-08,4.7295
2017-02-15,4.3229
2017-02-22,5.3165
2017-03-01,5.6968
2017-03-08,4.9872
2017-03-15,5.6895
2017-03-22,6.072
2017-03-29,4.2199
2017-04-05,4.7768
2017-04-12,5.5139
2017-04-19,3.7975
2017-04-26,3.7629
2017-05-03,5.2857
2017-05-10,3.8902
2017-05-17,5.3706
2017-05-24,4.5469
2017-05-31,4.4949
2017-06-07,4.0356
2017-06-14,4.6159
2017-06-21,4.4142
2017-06-28,4.7518
2017-07-05,4.5448
2017-07-12,4.7013
2017-07-19,4.301
2017-07-26,4.8823
2017-08-02,4.8355
2017-08-09,4.803
2017-08-16,4.8126
2017-08-23,4.8356
2017-08-30,4.4978
2017-09-06,3.828
2017-09-13,3.6972
2017-09-20,3.9453
2017-09-27,3.7094
2017-10-04,3.6984
2017-10-11,3.625
2017-10-18,3.6526
2017-10-25,3.7191
2017-11-01,3.6404
2017-11-08,3.6338
2017-11-15,3.8538
2017-11-22,3.7327
2017-11-29,4.0311
2017-12-06,4.205
2017-12-13,2.826
2017-12-20,3.7683999999999997
2017-12-27,3.1017
2018-01-03,3.7044
2018-01-10,3.6099
2018-01-17,3.7233
2018-01-24,3.2733
2018-01-31,3.2689
2018-02-07,3.1802
2018-02-14,3.3305
2018-02-21,2.9788
2018-02-28,3.2954
2018-03-07,3.3586
2018-03-14,3.4151
2018-03-21,3.6534
2018-03-28,3.6468
2018-04-04,3.5489
2018-04-11,3.6012
2018-04-18,3.3297
2018-04-25,3.3244
2018-05-02,3.5019
2018-05-09,3.5284
2018-05-16,3.5176
2018-05-23,3.593
2018-05-30,3.4484
2018-06-06,3.5004
2018-06-13,3.6054
2018-06-20,3.6846
2018-06-27,3.489
2018-07-04,3.7143
2018-07-11,3.477
2018-07-18,3.6104000000000003
2018-07-25,3.7368
2018-08-01,3.6701
2018-08-08,3.6993
2018-08-15,3.7321
2018-08-22,3.8485
2018-08-29,4.9202
2018-09-05,3.7976
2018-09-12,4.6282
2018-09-19,3.9562
2018-09-26,4.617
2018-10-03,4.8591999999999995
2018-10-10,5.9571
2018-10-17,4.8856
2018-10-24,4.9353
