,PENUSDCR Curncy
2002-11-13,116.7571
2002-11-20,117.3509
2002-11-27,118.8991
2002-12-04,118.885
2002-12-11,120.0141
2002-12-18,120.4405
2002-12-25,120.6653
2003-01-01,120.1291
2003-01-08,121.0502
2003-01-15,121.2939
2003-01-22,120.7428
2003-01-29,120.9911
2003-02-05,121.2433
2003-02-12,121.5471
2003-02-19,121.7868
2003-02-26,121.84909999999999
2003-03-05,122.021
2003-03-12,121.9896
2003-03-19,121.8804
2003-03-26,122.1917
2003-04-02,122.5279
2003-04-09,122.7036
2003-04-16,123.1195
2003-04-23,123.0525
2003-04-30,123.1224
2003-05-07,122.8205
2003-05-14,122.7792
2003-05-21,122.3219
2003-05-28,122.1518
2003-06-04,122.724
2003-06-11,122.7623
2003-06-18,123.1963
2003-06-25,123.0734
2003-07-02,123.4542
2003-07-09,123.4211
2003-07-16,123.4784
2003-07-23,123.5164
2003-07-30,123.6192
2003-08-06,123.2877
2003-08-13,123.279
2003-08-20,123.4517
2003-08-27,123.4749
2003-09-03,123.4422
2003-09-10,123.7406
2003-09-17,123.7248
2003-09-24,123.7246
2003-10-01,123.6976
2003-10-08,123.8037
2003-10-15,123.9392
2003-10-22,124.0822
2003-10-29,124.3261
2003-11-05,124.2084
2003-11-12,124.1874
2003-11-19,124.1309
2003-11-26,124.1992
2003-12-03,124.3371
2003-12-10,124.4181
2003-12-17,124.6314
2003-12-24,124.9138
2003-12-31,125.0523
2004-01-07,125.1905
2004-01-14,125.3513
2004-01-21,125.0597
2004-01-28,124.2939
2004-02-04,124.2924
2004-02-11,124.4349
2004-02-18,125.0097
2004-02-25,124.9834
2004-03-03,125.0908
2004-03-10,125.6638
2004-03-17,125.6804
2004-03-24,126.0208
2004-03-31,126.0196
2004-04-07,125.957
2004-04-14,125.8148
2004-04-21,125.7575
2004-04-28,125.0916
2004-05-05,125.4945
2004-05-12,125.2498
2004-05-19,125.3362
2004-05-26,125.2715
2004-06-02,125.4021
2004-06-09,125.8472
2004-06-16,125.8968
2004-06-23,126.1977
2004-06-30,126.2769
2004-07-07,126.5704
2004-07-14,127.4765
2004-07-21,128.0203
2004-07-28,128.139
2004-08-04,128.2755
2004-08-11,128.7927
2004-08-18,129.8858
2004-08-25,130.0259
2004-09-01,130.474
2004-09-08,130.5809
2004-09-15,131.2201
2004-09-22,131.1935
2004-09-29,131.4
2004-10-06,132.0416
2004-10-13,132.7159
2004-10-20,132.7349
2004-10-27,132.7338
2004-11-03,132.6529
2004-11-10,133.2125
2004-11-17,133.2676
2004-11-24,133.0161
2004-12-01,133.4904
2004-12-08,133.022
2004-12-15,135.1324
2004-12-22,135.0179
2004-12-29,134.5764
2005-01-05,134.8106
2005-01-12,135.1573
2005-01-19,135.2811
2005-01-26,135.4125
2005-02-02,135.5017
2005-02-09,135.5789
2005-02-16,135.5979
2005-02-23,135.7295
2005-03-02,135.5473
2005-03-09,135.7399
2005-03-16,135.6383
2005-03-23,135.6603
2005-03-30,135.66
2005-04-06,135.7936
2005-04-13,135.8066
2005-04-20,135.9536
2005-04-27,135.9334
2005-05-04,135.9133
2005-05-11,136.0607
2005-05-18,136.0452
2005-05-25,136.115
2005-06-01,136.0956
2005-06-08,136.2051
2005-06-15,136.2569
2005-06-22,136.2244
2005-06-29,136.1379
2005-07-06,136.327
2005-07-13,136.2528
2005-07-20,136.2616
2005-07-27,136.2301
2005-08-03,136.2304
2005-08-10,136.2944
2005-08-17,136.1929
2005-08-24,135.9809
2005-08-31,135.1085
2005-09-07,134.6759
2005-09-14,134.6942
2005-09-21,133.9136
2005-09-28,132.548
2005-10-05,131.7733
2005-10-12,130.7209
2005-10-19,130.8686
2005-10-26,130.8415
2005-11-02,131.7082
2005-11-09,131.6582
2005-11-16,131.764
2005-11-23,130.6643
2005-11-30,129.9814
2005-12-07,129.9212
2005-12-14,128.8519
2005-12-21,129.1355
2005-12-28,129.3526
2006-01-04,128.9542
2006-01-11,128.6845
2006-01-18,131.304
2006-01-25,132.5192
2006-02-01,133.7621
2006-02-08,134.9193
2006-02-15,134.7682
2006-02-22,134.9038
2006-03-01,133.7884
2006-03-08,132.9419
2006-03-15,133.1796
2006-03-22,132.4999
2006-03-29,132.6073
2006-04-05,131.6562
2006-04-12,133.5935
2006-04-19,133.8966
2006-04-26,133.7808
2006-05-03,134.466
2006-05-10,135.4089
2006-05-17,136.3305
2006-05-24,135.964
2006-05-31,134.7762
2006-06-07,136.3695
2006-06-14,136.2252
2006-06-21,136.3112
2006-06-28,136.3551
2006-07-05,136.5883
2006-07-12,137.4538
2006-07-19,137.3427
2006-07-26,137.3343
2006-08-02,137.2809
2006-08-09,137.781
2006-08-16,137.943
