,Return_Incl_Costs_BRLUSD Curncy,Return_Incl_Costs_PENUSD Curncy,Return_Incl_Costs_MXNUSD Curncy,Return_Incl_Costs_COPUSD Curncy,Return_Incl_Costs_CLPUSD Curncy,Return_Incl_Costs_CNYUSD Curncy,Return_Incl_Costs_KRWUSD Curncy,Return_Incl_Costs_IDRUSD Curncy,Return_Incl_Costs_INRUSD Curncy,Return_Incl_Costs_PHPUSD Curncy,Return_Incl_Costs_THBUSD Curncy,Return_Incl_Costs_TRYUSD Curncy,Return_Incl_Costs_RUBUSD Curncy,Return_Incl_Costs_ZARUSD Curncy,Return_Incl_Costs_CZKEUR Curncy,Return_Incl_Costs_HUFEUR Curncy,Return_Incl_Costs_PLNEUR Curncy
2009-10-21,477.25830097439484,130.55231067406476,137.6006591762152,172.82140592554757,108.15627159686342,105.99939806010642,160.6360471961118,223.84932891155358,102.26789430919729,103.76442233550245,145.81161947894262,352.214992345422,90.75974281699581,230.17381851126484,102.79339805828113,140.18924861808645,179.967521712892
2009-10-28,465.86680965347006,130.55231067406476,134.03536479634028,162.2776933313585,106.33534525859518,106.03172148969857,160.6360471961118,223.84932891155358,102.26789430919729,103.76442233550245,145.81161947894262,352.214992345422,90.75974281699581,216.73070298783392,102.79339805828113,134.93351868406,179.967521712892
2009-11-04,482.41316708871165,130.55231067406476,133.83457435889713,167.24066982548453,106.2821775859659,106.03377910239146,160.6360471961118,223.84932891155358,102.26789430919729,103.76442233550245,145.81161947894262,352.214992345422,90.75974281699581,222.09852030012124,102.79339805828113,134.77969565331335,179.967521712892
2009-11-11,483.8108825386328,130.55231067406476,135.4785766488941,167.01575992258452,106.2821775859659,106.04338235095902,160.6360471961118,223.84932891155358,102.26789430919729,103.76442233550245,145.81161947894262,352.214992345422,90.75974281699581,229.96046493907514,100.60927328728208,137.76640788083157,179.967521712892
2009-11-18,482.45632504099234,130.55231067406476,137.06883365120896,166.93225204262325,106.2821775859659,106.09191515037267,160.6360471961118,223.84932891155358,102.26789430919729,103.76442233550245,145.81161947894262,352.214992345422,90.75974281699581,227.74849664981798,100.50282786862684,139.9830540752067,179.967521712892
2009-11-25,484.0774581694664,130.55231067406476,138.75801786742153,166.93225204262325,106.2821775859659,106.12488394565408,160.6360471961118,223.84932891155358,102.26789430919729,103.76442233550245,145.81161947894262,352.214992345422,90.75974281699581,232.4201895331314,100.45257645469253,139.5313132107792,179.967521712892
2009-12-02,485.7010001138821,130.55231067406476,139.40565266178956,166.93225204262325,106.2821775859659,106.13322751362305,160.6360471961118,223.84932891155358,102.26789430919729,103.76442233550245,145.81161947894262,352.214992345422,90.75974281699581,232.99993928636374,99.94270581725259,137.67314855405894,179.967521712892
2009-12-09,474.32135213800143,130.55231067406476,137.85021999610748,166.93225204262325,106.2821775859659,106.17290194463025,160.6360471961118,223.84932891155358,102.26789430919729,103.76442233550245,145.81161947894262,352.214992345422,90.75974281699581,225.04965182787018,99.59023422742229,135.4743496347672,179.967521712892
2009-12-16,476.57760973632344,130.55231067406476,140.79585322907297,166.93225204262325,106.2821775859659,106.19068649844282,160.6360471961118,223.84932891155358,102.26789430919729,103.76442233550245,145.81161947894262,352.214992345422,90.75974281699581,230.8349739075032,101.30783600611164,134.67319715936722,179.967521712892
2009-12-23,476.2445909324435,130.55231067406476,138.88622362195528,166.93225204262325,106.2821775859659,106.20503639198212,160.6360471961118,223.84932891155358,102.26789430919729,103.76442233550245,145.81161947894262,352.214992345422,90.75974281699581,225.238229769581,101.95960993720503,136.77749329419618,179.967521712892
2009-12-30,481.9751640567239,130.55231067406476,137.17004442816574,166.93225204262325,106.2821775859659,106.17525977493027,160.6360471961118,223.84932891155358,102.26789430919729,103.76442233550245,145.81161947894262,352.214992345422,90.94775265418633,232.18036143008396,101.96128465060495,136.7091045475491,179.967521712892
2010-01-06,485.641181184674,129.5665537978133,140.8436449416415,166.93225204262325,106.2821775859659,106.12217214504281,160.6360471961118,223.84932891155358,102.26789430919729,103.76442233550245,145.81161947894262,352.214992345422,89.03930602016155,235.2397978567892,101.28807162450809,136.7091045475491,179.967521712892
2010-01-13,479.173309647704,128.5213605634733,140.7005960272328,166.79905466069457,106.2821775859659,106.12217214504281,160.6360471961118,223.84932891155358,102.26789430919729,103.76442233550245,145.81161947894262,352.214992345422,88.59232605683187,232.41834905772401,100.94083416390002,136.7091045475491,179.967521712892
2010-01-20,471.3087263341209,128.45709988319157,140.75377042415113,166.1469615164804,106.2821775859659,106.11370502729868,160.6360471961118,223.84932891155358,102.26789430919729,103.76442233550245,145.81161947894262,352.214992345422,88.97415732330043,228.81483978567778,100.89036374681808,134.43123570128628,179.967521712892
2010-01-27,454.40265238498307,128.45709988319157,138.8740718042552,168.04047558155918,106.2821775859659,106.14466781643189,160.6360471961118,223.84932891155358,102.26789430919729,103.76442233550245,145.81161947894262,352.214992345422,90.54779587014009,226.31292583228915,100.89036374681808,133.6342556804743,179.967521712892
2010-02-03,454.1754510587906,128.45709988319157,138.89291119948254,167.9564553437684,106.2821775859659,106.1886365149267,160.6360471961118,223.84932891155358,102.26789430919729,103.76442233550245,145.81161947894262,352.214992345422,89.52721160629667,230.12865607627558,100.89036374681808,134.53228836197187,179.967521712892
2010-02-10,454.1754510587906,128.45709988319157,138.0742538432472,167.9564553437684,105.64857611575573,106.31691424086854,160.6360471961118,223.84932891155358,102.26789430919729,103.76442233550245,145.81161947894262,352.214992345422,90.39390836517948,223.41799959197164,100.99852351476264,134.7979246809911,179.967521712892
2010-02-17,454.1754510587906,128.45709988319157,139.95460490973082,167.9564553437684,104.66414497749949,106.38482371073485,160.6360471961118,223.84932891155358,102.26789430919729,103.76442233550245,145.81161947894262,352.214992345422,89.73931793254461,223.30629059217566,99.97446665627218,134.8696990743053,179.967521712892
2010-02-24,454.1754510587906,128.45709988319157,140.49034511426447,167.9564553437684,104.41672123093858,106.33506758155099,160.6360471961118,223.84932891155358,102.26789430919729,103.76442233550245,145.81161947894262,352.214992345422,89.35765416908256,223.30629059217566,100.03238055840784,135.73404753557435,179.967521712892
2010-03-03,454.1754510587906,128.45709988319157,142.20570874981934,167.9564553437684,102.10678472604857,106.37445401098098,160.6360471961118,223.84932891155358,102.26789430919729,103.76442233550245,145.81161947894262,352.214992345422,88.51978185806513,223.30629059217566,99.98236436812864,137.87974657689384,179.967521712892
2010-03-10,454.1754510587906,128.45709988319157,143.15673120758575,167.9564553437684,102.54086013505737,106.44233815521247,160.6360471961118,223.84932891155358,102.26789430919729,103.76442233550245,145.81161947894262,352.214992345422,87.876400269334,223.30629059217566,99.98236436812864,137.67977316819432,179.967521712892
2010-03-17,454.1754510587906,128.45709988319157,145.25116631074215,167.9564553437684,103.83697804554471,106.49724236077536,160.6360471961118,223.84932891155358,102.26789430919729,103.76442233550245,145.81161947894262,352.214992345422,87.83246206919934,223.30629059217566,99.98236436812864,140.5082527748242,179.967521712892
2010-03-24,445.9869937389777,128.45709988319157,144.06428441142987,167.9564553437684,105.46178848741344,106.54447557909751,160.6360471961118,223.84932891155358,102.26789430919729,103.76442233550245,145.81161947894262,352.214992345422,87.83246206919934,220.80317565124443,99.98236436812864,139.25831237481881,179.967521712892
