,US0003M Index
2008-08-20,2.81188
2008-08-27,2.81
2008-09-03,2.8137499999999998
2008-09-10,2.81875
2008-09-17,3.0625
2008-09-24,3.47625
2008-10-01,4.15
2008-10-08,4.52375
2008-10-15,4.55
2008-10-22,3.54125
2008-10-29,3.42
2008-11-05,2.50625
2008-11-12,2.1325
2008-11-19,2.1725
2008-11-26,2.18125
2008-12-03,2.20125
2008-12-10,2.09875
2008-12-17,1.5775000000000001
2008-12-24,1.4675
2008-12-31,1.425
2009-01-07,1.3975
2009-01-14,1.0825
2009-01-21,1.125
2009-01-28,1.17438
2009-02-04,1.23563
2009-02-11,1.23125
2009-02-18,1.25125
2009-02-25,1.25625
2009-03-04,1.27663
2009-03-11,1.3259400000000001
2009-03-18,1.2875
2009-03-25,1.2275
2009-04-01,1.17688
2009-04-08,1.13875
2009-04-15,1.1125
2009-04-22,1.09938
2009-04-29,1.0275
2009-05-06,0.97375
2009-05-13,0.88313
2009-05-20,0.71625
2009-05-27,0.67375
2009-06-03,0.63688
2009-06-10,0.63875
2009-06-17,0.61
2009-06-24,0.60438
2009-07-01,0.5875
2009-07-08,0.525
2009-07-15,0.51375
2009-07-22,0.50188
2009-07-29,0.4875
2009-08-05,0.46813
2009-08-12,0.44969
2009-08-19,0.41875
2009-08-26,0.37188
2009-09-02,0.33
2009-09-09,0.29869
2009-09-16,0.29188
2009-09-23,0.285
2009-09-30,0.28688
2009-10-07,0.28438
2009-10-14,0.28406
2009-10-21,0.28344
2009-10-28,0.28063
2009-11-04,0.2775
2009-11-11,0.2725
2009-11-18,0.26906
2009-11-25,0.25563
2009-12-02,0.255
2009-12-09,0.25519
2009-12-16,0.25375
2009-12-23,0.25063
2009-12-30,0.25063
2010-01-06,0.25
2010-01-13,0.25125
2010-01-20,0.24888
2010-01-27,0.24875
2010-02-03,0.24906
2010-02-10,0.25
2010-02-17,0.25063
2010-02-24,0.25194
2010-03-03,0.25194
2010-03-10,0.25563
2010-03-17,0.26638
2010-03-24,0.28491
2010-03-31,0.2915
2010-04-07,0.29525
2010-04-14,0.30375
2010-04-21,0.31281
2010-04-28,0.33781
2010-05-05,0.36016
2010-05-12,0.43019
2010-05-19,0.4775
2010-05-26,0.53781
2010-06-02,0.5375
2010-06-09,0.53656
2010-06-16,0.53894
2010-06-23,0.53825
2010-06-30,0.53394
2010-07-07,0.52988
2010-07-14,0.52563
2010-07-21,0.50625
2010-07-28,0.475
2010-08-04,0.42406
2010-08-11,0.38438
2010-08-18,0.34547
2010-08-25,0.30375
2010-09-01,0.29563
2010-09-08,0.2925
2010-09-15,0.29203
2010-09-22,0.28938
2010-09-29,0.29
2010-10-06,0.28969
2010-10-13,0.28906
2010-10-20,0.28844
2010-10-27,0.28813
2010-11-03,0.28594
2010-11-10,0.28563
2010-11-17,0.28438
2010-11-24,0.2875
2010-12-01,0.30344
2010-12-08,0.30219
2010-12-15,0.30188
2010-12-22,0.30281
2010-12-29,0.30281
2011-01-05,0.30281
2011-01-12,0.30313
2011-01-19,0.30313
2011-01-26,0.30438
2011-02-02,0.3105
2011-02-09,0.312
2011-02-16,0.3135
2011-02-23,0.3115
2011-03-02,0.3095
2011-03-09,0.3095
2011-03-16,0.309
2011-03-23,0.308
2011-03-30,0.3045
2011-04-06,0.29263
2011-04-13,0.278
2011-04-20,0.27375
2011-04-27,0.27325
2011-05-04,0.27025
2011-05-11,0.26225
2011-05-18,0.26
2011-05-25,0.2545
2011-06-01,0.25288
2011-06-08,0.25025
2011-06-15,0.245
2011-06-22,0.2455
2011-06-29,0.24575
2011-07-06,0.24575
2011-07-13,0.24925
2011-07-20,0.253
2011-07-27,0.25285
2011-08-03,0.26828
2011-08-10,0.28061
2011-08-17,0.29589
2011-08-24,0.31428
2011-08-31,0.32722
2011-09-07,0.33683
2011-09-14,0.34911
2011-09-21,0.35556
2011-09-28,0.36856
2011-10-05,0.38361
2011-10-12,0.40083
2011-10-19,0.41167
2011-10-26,0.42472
2011-11-02,0.43306
2011-11-09,0.44917
2011-11-16,0.47111
2011-11-23,0.50611
2011-11-30,0.52889
2011-12-07,0.54
2011-12-14,0.55505
2011-12-21,0.57125
2011-12-28,0.57925
2012-01-04,0.5825
2012-01-11,0.5765
2012-01-18,0.5612
2012-01-25,0.5566
2012-02-01,0.5371
2012-02-08,0.51325
2012-02-15,0.4951
2012-02-22,0.4916
2012-02-29,0.48425
2012-03-07,0.47455
2012-03-14,0.47365
2012-03-21,0.47415
2012-03-28,0.46965
2012-04-04,0.46915
2012-04-11,0.46865
2012-04-18,0.46565
2012-04-25,0.46585
2012-05-02,0.46585
2012-05-09,0.46685
2012-05-16,0.46685
2012-05-23,0.46685
2012-05-30,0.46685
2012-06-06,0.46785
2012-06-13,0.46785
2012-06-20,0.4676
2012-06-27,0.4606
2012-07-04,0.4596
2012-07-11,0.4561
2012-07-18,0.4551
2012-07-25,0.4481
2012-08-01,0.4416
2012-08-08,0.43675
2012-08-15,0.4345
2012-08-22,0.43075
2012-08-29,0.42175
2012-09-05,0.40985
2012-09-12,0.39425
2012-09-19,0.37575
2012-09-26,0.36225
2012-10-03,0.3525
2012-10-10,0.34275
2012-10-17,0.32075
2012-10-24,0.31425
2012-10-31,0.31275
2012-11-07,0.31
2012-11-14,0.31
2012-11-21,0.3115
2012-11-28,0.3105
2012-12-05,0.3105
2012-12-12,0.3095
2012-12-19,0.31
2012-12-26,0.31
2013-01-02,0.305
2013-01-09,0.305
2013-01-16,0.303
2013-01-23,0.301
2013-01-30,0.2985
2013-02-06,0.293
2013-02-13,0.2901
2013-02-20,0.2891
2013-02-27,0.2871
2013-03-06,0.2796
2013-03-13,0.2801
2013-03-20,0.2841
2013-03-27,0.2836
2013-04-03,0.2811
2013-04-10,0.2771
2013-04-17,0.2761
2013-04-24,0.2756
2013-05-01,0.2731
2013-05-08,0.2751
2013-05-15,0.2741
2013-05-22,0.27375
2013-05-29,0.27575
2013-06-05,0.27445
2013-06-12,0.27325
2013-06-19,0.27175
2013-06-26,0.2756
2013-07-03,0.2739
2013-07-10,0.2691
2013-07-17,0.2662
2013-07-24,0.2643
2013-07-31,0.2656
2013-08-07,0.2664
2013-08-14,0.2632
2013-08-21,0.2621
2013-08-28,0.2605
2013-09-04,0.259
2013-09-11,0.2544
2013-09-18,0.25245
2013-09-25,0.2476
2013-10-02,0.24435
2013-10-09,0.2456
2013-10-16,0.24605
2013-10-23,0.23835
2013-10-30,0.2419
2013-11-06,0.23865
2013-11-13,0.2406
2013-11-20,0.2381
2013-11-27,0.2376
2013-12-04,0.24185
2013-12-11,0.24385
2013-12-18,0.2451
2013-12-25,0.24685
2014-01-01,0.2461
2014-01-08,0.2404
2014-01-15,0.23785
2014-01-22,0.2371
2014-01-29,0.2356
2014-02-05,0.23635
2014-02-12,0.2361
2014-02-19,0.2336
2014-02-26,0.2333
2014-03-05,0.2344
2014-03-12,0.2341
2014-03-19,0.23385
2014-03-26,0.23335
2014-04-02,0.2301
2014-04-09,0.22755
2014-04-16,0.22785
2014-04-23,0.22875
2014-04-30,0.22335
2014-05-07,0.22395
2014-05-14,0.22535
2014-05-21,0.22735
2014-05-28,0.2276
2014-06-04,0.2295
2014-06-11,0.2298
2014-06-18,0.231
2014-06-25,0.23385
2014-07-02,0.2346
2014-07-09,0.2341
2014-07-16,0.2336
2014-07-23,0.2341
2014-07-30,0.2396
2014-08-06,0.2342
2014-08-13,0.2336
2014-08-20,0.2349
2014-08-27,0.2346
2014-09-03,0.2341
2014-09-10,0.2346
2014-09-17,0.2341
2014-09-24,0.2351
2014-10-01,0.2326
2014-10-08,0.2291
2014-10-15,0.2281
2014-10-22,0.2328
2014-10-29,0.2326
2014-11-05,0.23185
2014-11-12,0.2332
2014-11-19,0.2311
2014-11-26,0.2356
2014-12-03,0.23485
2014-12-10,0.2399
2014-12-17,0.24535
2014-12-24,0.2566
2014-12-31,0.2556
2015-01-07,0.2521
2015-01-14,0.2536
2015-01-21,0.2571
2015-01-28,0.2546
2015-02-04,0.2551
2015-02-11,0.2581
2015-02-18,0.2606
2015-02-25,0.2609
2015-03-04,0.2636
2015-03-11,0.2699
2015-03-18,0.2703
2015-03-25,0.26855
2015-04-01,0.27075
2015-04-08,0.2712
2015-04-15,0.27435
2015-04-22,0.2775
2015-04-29,0.27815
2015-05-06,0.276
2015-05-13,0.2739
2015-05-20,0.2835
2015-05-27,0.2835
2015-06-03,0.2792
2015-06-10,0.28785
2015-06-17,0.2857
2015-06-24,0.28075
2015-07-01,0.2836
2015-07-08,0.28345
2015-07-15,0.2885
2015-07-22,0.2925
2015-07-29,0.2968
2015-08-05,0.3109
2015-08-12,0.3093
2015-08-19,0.33335
2015-08-26,0.3252
2015-09-02,0.3325
2015-09-09,0.333
2015-09-16,0.3396
2015-09-23,0.3255
2015-09-30,0.325
2015-10-07,0.3186
2015-10-14,0.31705
2015-10-21,0.3164
2015-10-28,0.3219
2015-11-04,0.3366
2015-11-11,0.3591
2015-11-18,0.3696
2015-11-25,0.4067
2015-12-02,0.436
2015-12-09,0.492
