,Inflation_Differential_BRLUSD Curncy,Inflation_Differential_PENUSD Curncy,Inflation_Differential_MXNUSD Curncy,Inflation_Differential_COPUSD Curncy,Inflation_Differential_CLPUSD Curncy,Inflation_Differential_TRYUSD Curncy,Inflation_Differential_RUBUSD Curncy,Inflation_Differential_ZARUSD Curncy,Inflation_Differential_CNYUSD Curncy,Inflation_Differential_KRWUSD Curncy,Inflation_Differential_IDRUSD Curncy,Inflation_Differential_INRUSD Curncy,Inflation_Differential_PHPUSD Curncy,Inflation_Differential_THBUSD Curncy,Inflation_Differential_CZKEUR Curncy,Inflation_Differential_HUFEUR Curncy,Inflation_Differential_PLNEUR Curncy
2000-05-03,3.7383333333333333,-0.3549999999999994,4.638333333333333,5.357333333333333,1.122666666666667,46.02633333333333,16.859333333333332,3.3033333333333337,-1.9019999999999995,0.10566666666666641,7.611000000000001,0.854333333333334,2.8746666666666663,-1.556333333333333,1.6073333333333335,6.578,4.456666666666667
2000-05-10,4.036166666666666,-0.5205000000000002,4.414916666666666,5.425666666666665,1.1215833333333332,48.64016666666666,16.880916666666668,3.2799166666666673,-1.8957500000000005,0.2938333333333327,8.038,1.1911666666666665,2.8845833333333326,-1.484916666666667,1.6564166666666675,6.345750000000002,4.087333333333334
2000-05-17,4.036166666666666,-0.5205000000000002,4.414916666666666,5.425666666666665,1.1215833333333332,48.64016666666666,16.880916666666668,3.2799166666666673,-1.8957500000000005,0.2938333333333327,8.038,1.1911666666666665,2.8845833333333326,-1.484916666666667,1.6564166666666675,6.345750000000002,4.087333333333334
2000-05-24,4.036166666666666,-0.5205000000000002,4.414916666666666,5.425666666666665,1.1215833333333332,48.64016666666666,16.880916666666668,3.2799166666666673,-1.8957500000000005,0.2938333333333327,8.038,1.1911666666666665,2.8845833333333326,-1.484916666666667,1.6564166666666675,6.345750000000002,4.087333333333334
2000-05-31,4.036166666666666,-0.5205000000000002,4.414916666666666,5.425666666666665,1.1215833333333332,48.64016666666666,16.880916666666668,3.2799166666666673,-1.8957500000000005,0.2938333333333327,8.038,1.1911666666666665,2.8845833333333326,-1.484916666666667,1.6564166666666675,6.345750000000002,4.087333333333334
2000-06-07,4.036166666666666,-0.5205000000000002,4.414916666666666,5.425666666666665,1.1215833333333332,48.64016666666666,16.880916666666668,3.2799166666666673,-1.8957500000000005,0.2938333333333327,8.038,1.1911666666666665,2.8845833333333326,-1.484916666666667,1.6564166666666675,6.345750000000002,4.087333333333334
2000-06-14,4.3340000000000005,-0.6859999999999998,4.1915,5.493999999999999,1.1205,51.254,16.902499999999996,3.2565000000000004,-1.8895000000000002,0.48199999999999976,8.464999999999998,1.5280000000000002,2.8945000000000007,-1.4135,1.7054999999999998,6.113499999999999,3.7180000000000004
2000-06-21,4.3340000000000005,-0.6859999999999998,4.1915,5.493999999999999,1.1205,51.254,16.902499999999996,3.2565000000000004,-1.8895000000000002,0.48199999999999976,8.464999999999998,1.5280000000000002,2.8945000000000007,-1.4135,1.7054999999999998,6.113499999999999,3.7180000000000004
2000-06-28,4.3340000000000005,-0.6859999999999998,4.1915,5.493999999999999,1.1205,51.254,16.902499999999996,3.2565000000000004,-1.8895000000000002,0.48199999999999976,8.464999999999998,1.5280000000000002,2.8945000000000007,-1.4135,1.7054999999999998,6.113499999999999,3.7180000000000004
2000-07-05,4.3340000000000005,-0.6859999999999998,4.1915,5.493999999999999,1.1205,51.254,16.902499999999996,3.2565000000000004,-1.8895000000000002,0.48199999999999976,8.464999999999998,1.5280000000000002,2.8945000000000007,-1.4135,1.7054999999999998,6.113499999999999,3.7180000000000004
