,PENUSD Curncy
2006-07-26,0.308642
2006-08-02,0.308404
2006-08-09,0.309933
2006-08-16,0.31003
2006-08-23,0.309215
2006-08-30,0.309024
2006-09-06,0.308262
2006-09-13,0.307267
2006-09-20,0.308119
2006-09-27,0.307574
2006-10-04,0.307929
2006-10-11,0.308167
2006-10-18,0.308262
2006-10-25,0.310054
2006-11-01,0.310849
2006-11-08,0.311066
2006-11-15,0.309334
2006-11-22,0.309885
2006-11-29,0.310294
2006-12-06,0.311284
2006-12-13,0.311381
2006-12-20,0.312622
2006-12-27,0.312793
2007-01-03,0.313234
2007-01-10,0.313308
2007-01-17,0.313627
2007-01-24,0.313136
2007-01-31,0.312842
2007-02-07,0.313431
2007-02-14,0.313529
2007-02-21,0.313627
2007-02-28,0.313431
2007-03-07,0.313726
2007-03-14,0.314021
2007-03-21,0.313824
2007-03-28,0.314317
2007-04-04,0.314416
2007-04-11,0.314317
2007-04-18,0.314416
2007-04-25,0.314911
2007-05-02,0.315115
2007-05-09,0.316106
2007-05-16,0.316006
2007-05-23,0.315906
2007-05-30,0.314961
2007-06-06,0.315552
2007-06-13,0.315408
2007-06-20,0.315756
2007-06-27,0.315457
2007-07-04,0.315706
2007-07-11,0.316601
2007-07-18,0.316606
2007-07-25,0.316656
2007-08-01,0.316606
2007-08-08,0.317309
2007-08-15,0.318016
2007-08-22,0.316056
2007-08-29,0.316206
2007-09-05,0.316156
2007-09-12,0.317158
2007-09-19,0.318674
2007-09-26,0.321854
2007-10-03,0.330579
2007-10-10,0.3314
2007-10-17,0.331236
2007-10-24,0.331016
2007-10-31,0.333245
2007-11-07,0.332984
2007-11-14,0.333801
2007-11-21,0.333717
2007-11-28,0.332829
2007-12-05,0.334896
2007-12-12,0.336627
2007-12-19,0.336123
2007-12-26,0.335149
2008-01-02,0.33389
2008-01-09,0.337838
2008-01-16,0.339328
2008-01-23,0.339484
2008-01-30,0.340994
2008-02-06,0.342349
2008-02-13,0.344632
2008-02-20,0.344947
2008-02-27,0.345776
2008-03-05,0.348584
2008-03-12,0.356062
2008-03-19,0.35823
2008-03-26,0.360926
2008-04-02,0.367782
2008-04-09,0.370831
2008-04-16,0.370233
2008-04-23,0.358231
2008-04-30,0.350441
2008-05-07,0.361403
2008-05-14,0.362647
2008-05-21,0.357239
2008-05-28,0.348432
2008-06-04,0.356125
2008-06-11,0.345543
2008-06-18,0.3465
2008-06-25,0.337155
2008-07-02,0.337952
2008-07-09,0.356297
2008-07-16,0.353826
2008-07-23,0.351679
2008-07-30,0.354045
2008-08-06,0.358552
2008-08-13,0.339386
2008-08-20,0.343802
2008-08-27,0.337781
2008-09-03,0.336842
2008-09-10,0.336839
2008-09-17,0.336183
2008-09-24,0.33765
2008-10-01,0.335346
2008-10-08,0.321287
2008-10-15,0.328677
2008-10-22,0.320687
2008-10-29,0.324044
2008-11-05,0.325203
2008-11-12,0.322207
2008-11-19,0.321854
2008-11-26,0.323468
2008-12-03,0.321079
2008-12-10,0.321027
2008-12-17,0.325098
2008-12-24,0.318674
2008-12-31,0.318878
2009-01-07,0.318548
2009-01-14,0.31736
2009-01-21,0.317209
2009-01-28,0.316306
2009-02-04,0.308785
2009-02-11,0.308976
2009-02-18,0.308547
2009-02-25,0.308039
2009-03-04,0.307882
2009-03-11,0.314961
2009-03-18,0.317814
2009-03-25,0.31903
2009-04-01,0.318061
2009-04-08,0.321461
2009-04-15,0.322893
2009-04-22,0.324202
2009-04-29,0.330962
2009-05-06,0.337724
2009-05-13,0.327719
2009-05-20,0.334672
2009-05-27,0.333045
2009-06-03,0.337064
